"Variable"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"
"bio1"	"0.12561809398566"	"0.30175060556493"	"0.160095423855484"	"-0.192334680419116"	"0.043342831561222"	"-0.0222835318255129"	"0.0720780014541687"	"-0.210882403246297"	"0.170153513562687"	"-0.019625696852542"	"0.0358533358040525"	"-0.00982686852623495"	"-0.0292390646291104"	"-0.0828990688804181"	"-0.0145889950334109"	"0.00134119959371558"	"0.0888478046140193"	"0.139833948360027"	"0.276427637026892"	"0.119574559312862"	"-0.0506775780229602"	"-0.34597313809899"	"-0.213748775577683"	"-0.176478142321492"	"-0.646622398200978"	"-0.0668092056583652"	"-1.45016662973922e-09"
"bio10"	"0.20982090169049"	"0.172712992058866"	"0.0705563450186537"	"-0.33302341835735"	"-0.0836315282219014"	"-0.0216246904667405"	"0.166651463094896"	"-0.291445457181722"	"0.167614015427225"	"0.0462812342926385"	"0.0799052998566875"	"-0.0684444609482324"	"-0.0408869766012521"	"-0.158506254407436"	"0.109078119180112"	"-0.012149208333631"	"0.0457567033655383"	"0.221509943399871"	"0.21451985637748"	"-0.0948618312940062"	"0.0559006934560378"	"-0.0839634464682115"	"0.160013105845182"	"0.0881101388250569"	"0.454416211770577"	"0.503711985713067"	"9.20381737867821e-08"
"bio11"	"0.0413071761454775"	"0.345913859776502"	"0.186490474631353"	"-0.0229340569695782"	"0.13318893524717"	"-0.00578204854648406"	"0.0185294211938241"	"-0.0790387564067386"	"0.110323780873975"	"-0.0572868461639827"	"-0.00529807239230561"	"-0.0357254548266154"	"-0.0595921417849248"	"0.119741848740532"	"-0.0511490078202587"	"0.0332178487833155"	"0.00525225198362923"	"0.0426131189551125"	"-0.0693597140484974"	"-0.0289986485246362"	"0.0525920894391275"	"-0.310333154593834"	"0.0454591903279666"	"0.113321922441129"	"0.440356397393812"	"-0.682065305754712"	"-1.52918609117899e-07"
"bio12"	"-0.233840684256058"	"0.15365558366251"	"-0.0700450747333886"	"-0.121327510701751"	"-0.211896971230598"	"-0.103452746803182"	"0.0817237104887728"	"0.131074606975455"	"-0.00304805939802923"	"0.0070424949349851"	"-0.0937163755477718"	"0.0591067177501792"	"0.0920008550305086"	"0.455941360792447"	"0.376303702504146"	"-0.118830820412671"	"0.161690591324882"	"-0.185249850171534"	"0.270321090572042"	"0.112210259235267"	"-0.505616186895482"	"-0.0313951217196386"	"0.165361773603987"	"-0.0666376512096642"	"0.0605455264460709"	"0.00151888391085813"	"-9.6501451987876e-09"
"bio13"	"-0.201271702273989"	"0.177026951836167"	"-0.222306983107435"	"-0.13165769647767"	"-0.0792960013960383"	"-0.286443852076337"	"0.106262858360296"	"0.204732503557526"	"0.168479903757983"	"-0.0119257323822345"	"-0.277905521551526"	"0.0918938252004813"	"-0.224146882346974"	"-0.345973552569506"	"-0.244979665461105"	"-0.259452466517797"	"0.225687906984127"	"0.149861415278109"	"-0.304073446887235"	"-0.248897585955928"	"-0.262154161200219"	"0.00836359719332727"	"-0.0889302296872985"	"-0.0605863504978163"	"0.0141173886525267"	"-0.000773551666822753"	"-4.43532775725433e-09"
"bio14"	"-0.233634575614523"	"0.0534748180970084"	"0.211313963674599"	"-0.107854449496397"	"-0.332027697981347"	"0.065660329227767"	"-0.0253969978126786"	"-0.00183489102570587"	"-0.225043187620948"	"-0.362404273148359"	"0.169785392247217"	"-0.354256340444794"	"-0.0789542677236218"	"-0.231596977450478"	"-0.235477043812348"	"-0.0953422708297571"	"-0.410080246417976"	"-0.242357779249473"	"0.147930913650705"	"-0.145782906787898"	"-0.182581094660025"	"-0.0556981159824232"	"0.0597801675692723"	"-0.00710931308010765"	"-0.00240386672230209"	"-0.0155955390103558"	"-3.98801667971921e-10"
"bio15"	"0.0931400862297142"	"0.120703850181479"	"-0.435780730099784"	"0.113642707757307"	"0.311649381304146"	"-0.528964195442818"	"0.0555429059556012"	"-0.174300290450589"	"-0.217716254026404"	"-0.266154742736268"	"0.206684008768889"	"-0.389674786331314"	"0.152494540474893"	"0.00804567464794776"	"0.002982582465821"	"0.0905286063799395"	"0.0955725609698359"	"-0.0130870761015603"	"0.033053652163519"	"0.0617416634836783"	"-0.0403975711930593"	"0.0566897333288225"	"-0.00877919064046725"	"-0.0037495997008448"	"0.00804234531484212"	"-0.00184172938973379"	"2.627572309991e-10"
"bio16"	"-0.207174606026092"	"0.175823848808809"	"-0.207240210963173"	"-0.120058094083708"	"-0.0876750575737107"	"-0.274980275468996"	"0.118929800514226"	"0.172659256064405"	"0.160554804123676"	"0.0469198286263498"	"-0.173741300446527"	"0.130384654063124"	"-0.0491809897376719"	"-0.0675632360934254"	"0.0102803518929935"	"-0.0801460840044323"	"-0.276910173430596"	"-0.299441642627668"	"0.185918388468854"	"0.312216725128527"	"0.580926430540145"	"-0.03299693040275"	"0.10194158177483"	"0.0707846447500581"	"-0.0209184063297939"	"0.00857607620540347"	"-1.82452613199377e-09"
"bio17"	"-0.234187676521394"	"0.0726589945268116"	"0.194837228492051"	"-0.121665057238271"	"-0.329799804395627"	"0.0766850777735941"	"-0.0109083622780595"	"0.0392886368033572"	"-0.203859766916572"	"-0.284881581225177"	"0.00969395665024744"	"-0.196841840790126"	"0.0203870350557508"	"0.0532681362112735"	"0.0536537008720471"	"0.0471851910576441"	"0.547424068137714"	"0.190231007143019"	"-0.186544485918473"	"0.292563295940849"	"0.341530116322881"	"0.119457567709467"	"-0.113098038822684"	"0.0217417412010287"	"0.0134977715909932"	"0.0165654724246176"	"2.31903960116686e-09"
"bio18"	"-0.244730292025447"	"-0.0852138224001795"	"0.101156411711364"	"-0.187869554115086"	"-0.0432063814447412"	"-0.233145500982753"	"-0.102775696751162"	"-0.227734704618145"	"0.01552433947979"	"-0.290074252342086"	"-0.206071194806127"	"0.358088783951203"	"0.521966598793997"	"0.0057369629124791"	"0.0977798587989148"	"0.291220054633323"	"-0.186486666559265"	"0.141427560032736"	"-0.111215421115101"	"-0.269135575438552"	"0.0358213780930806"	"-0.0362472765140189"	"-0.0542404749210891"	"0.0236261532518549"	"-0.0320223464477701"	"-0.00591084403029166"	"1.1238876249884e-08"
"bio19"	"-0.143808839461858"	"0.266052295447403"	"-0.187916540240415"	"-0.0428598922893049"	"-0.233470538351799"	"0.0333698734624537"	"0.197066001265853"	"0.329581311195455"	"-0.0191425888472423"	"0.346354210423816"	"0.485934616201234"	"-0.0165657763760158"	"0.138399644635716"	"0.128450606449389"	"-0.0847535027797229"	"0.354905980725039"	"-0.144011704596811"	"0.258892194806734"	"-0.0646249789004105"	"-0.187522491555244"	"0.0387815812601927"	"0.00456006245196504"	"-0.10540930140986"	"0.0214097943693741"	"-0.0500000254752754"	"-0.00864878910206228"	"1.17572939256392e-08"
"bio2"	"0.20263728695301"	"0.077826198695186"	"-0.123801832565751"	"0.00941049565067976"	"-0.326387738004835"	"-0.205995467554895"	"-0.66909759002471"	"-0.0608514636092854"	"-0.00259731462456703"	"0.0542475471352431"	"-0.0418770985055853"	"0.091402223892585"	"-0.123991723443957"	"0.255218373636698"	"-0.372074468823052"	"0.0233650295027229"	"0.0678280355684928"	"0.122721058256127"	"0.256708288726141"	"-0.0788737914464264"	"0.057741871365844"	"0.0744255540947278"	"0.0593156143404309"	"-0.0022290730019529"	"0.01669808888008"	"-0.00990665940595015"	"-1.00098446888342e-08"
"bio28"	"-0.267613407707331"	"-0.00662583130939329"	"-0.0746259684504205"	"-0.00540449617787193"	"0.0873567162802841"	"0.0749701835774826"	"-0.0719464139226271"	"-0.173693658292001"	"0.00612571717080639"	"0.177297139033301"	"-0.163889275934257"	"-0.370793104736603"	"-0.0243870975977909"	"0.275531342010359"	"0.20624811129173"	"-0.417126239226177"	"-0.131740144369022"	"0.221339315529163"	"0.0506034804945027"	"-0.370432313227813"	"0.213027831772194"	"0.0385065042050442"	"-0.194686474075211"	"0.277389868731675"	"-0.131412884246328"	"-0.0130874040588064"	"2.21656536111435e-08"
"bio29"	"-0.222863452242249"	"0.0825071210497184"	"-0.284359413020115"	"-0.100991360780827"	"0.141540025523173"	"0.272723657468486"	"-0.151489023551944"	"-0.10030419498167"	"0.00693527452779837"	"-0.138152096514825"	"-0.0695793587234719"	"0.0331691208103188"	"-0.387354748527255"	"-0.0918530318392645"	"0.113497091234316"	"0.442921391145073"	"0.0671313253810068"	"-0.0058633453796733"	"-0.00713310619654447"	"-0.0159442252802474"	"-0.0945002297532136"	"-0.0425626812713005"	"0.301327030511553"	"0.436472811171464"	"-0.187977315101323"	"0.0140056288751103"	"2.81047378026849e-09"
"bio3"	"0.00926148779847602"	"0.3230584608391"	"0.113048302257192"	"0.19256823583457"	"-0.0299445145125723"	"-0.0580824794886805"	"-0.519942086434371"	"0.142817106676812"	"0.0989186168661934"	"0.134512572664588"	"0.114642594852951"	"-0.0968352852817658"	"0.159442571774118"	"-0.42882450389018"	"0.510057051815424"	"-0.0543046836905362"	"-0.0331667568105609"	"-0.0605612647628231"	"-0.135837147095645"	"0.0392806409188551"	"-0.040837182742178"	"0.019803109979164"	"-0.00266145171712944"	"0.000703406909394268"	"0.0062294059551721"	"0.0314886702015664"	"1.27392761552519e-08"
"bio30"	"-0.253147430005721"	"-0.0790197879913099"	"0.131033441742669"	"0.034199188468185"	"0.0227025938085433"	"-0.188362887221785"	"-0.0123975186202705"	"-0.276244106808492"	"-0.084804512210476"	"0.214624956358386"	"0.345954572278646"	"0.285094870495586"	"-0.136070867861954"	"-0.0987151738007522"	"-0.0397010502372908"	"-0.0122439684454773"	"0.276944956422927"	"-0.406294458411302"	"0.134781622964205"	"-0.105165074711445"	"-0.0154054566902684"	"-0.00764116817166594"	"-0.40325420936251"	"0.268974007169724"	"0.0910543997407326"	"0.0109527780372826"	"1.01932346701518e-08"
"bio31"	"0.204496801284877"	"0.164657489098977"	"-0.281621643654117"	"-0.0617008418490507"	"-0.0494723512565711"	"0.194916746776748"	"-0.00732528601768085"	"-0.0251904999879436"	"-0.266830752233945"	"-0.346218859915998"	"0.32802711775667"	"0.463822066331457"	"-0.0678767807765416"	"0.0739185151967959"	"0.166042572185001"	"-0.436661982147285"	"-0.0795395073240534"	"0.0460395794015151"	"-0.164484757455986"	"-0.0768787373144556"	"0.107113443821526"	"-0.0934792217523575"	"0.0124923433233196"	"0.0194326824954031"	"-0.0505042030684598"	"0.00114395605650287"	"6.03956714686457e-09"
