"Variable"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"
"bio1"	"0.205110702016768"	"0.206739400594034"	"-0.0776936549400743"	"0.170186156825079"	"-0.104941136124814"	"0.0251881984561308"	"-0.123786569498106"	"0.00541822621781976"	"-0.127520424516995"	"0.0955263696136696"	"-0.206821882536483"	"0.0485972599975716"	"0.112486412675113"	"-0.0428257705796738"	"-0.0289355250100736"	"-0.0572295325694537"	"-0.0128375469212912"	"-0.419181349262861"	"-0.0379819162236969"	"-0.180273086500256"	"0.0957351093411511"	"0.241451452893733"	"0.00311643333598595"	"0.697414648376473"	"0.00484726544105974"	"0.019040519327335"	"3.53591299564693e-08"
"bio10"	"0.220088533882607"	"0.0723918176192543"	"0.00133459828389587"	"0.272147989808454"	"-0.204455277863505"	"0.0122207419137303"	"-0.219213329035703"	"-0.0130402120917388"	"-0.149199999388857"	"0.143167325518146"	"-0.210400109849278"	"0.0927128755806949"	"0.127762958083536"	"-0.0800100545027088"	"0.0421656042084463"	"-0.00400756613486211"	"0.0304025262257308"	"-0.283689452144344"	"-0.00534175873019834"	"-0.0065828519276567"	"0.0198235767783454"	"-0.0179374435929877"	"0.0281113942307375"	"-0.545231540280712"	"-0.0199995422790951"	"0.530358038602044"	"4.00736202212445e-08"
"bio11"	"0.175595946393776"	"0.300376099445237"	"-0.120169168413243"	"0.0662990276539154"	"-0.0194234928997646"	"0.0522973511799671"	"-0.0459330483471633"	"-0.00218452175293833"	"-0.112404157113603"	"0.0839506552468061"	"-0.130616956570898"	"0.0315399486885174"	"-0.120801312841726"	"0.0267685011235902"	"0.035534389652087"	"-0.153191148871276"	"0.11474339815801"	"-0.15989114091558"	"0.0902406388924409"	"-0.161658121012823"	"0.0239750497109292"	"0.0553070464192622"	"0.0547143387898095"	"-0.379225186659126"	"-0.0243029191853321"	"-0.743681265104336"	"-1.11001631875035e-07"
"bio12"	"-0.211152710869265"	"0.18169644990805"	"0.0780597180467262"	"0.120681090079115"	"-0.154196589762287"	"-0.122392019849601"	"0.0139358789266765"	"-0.0909853437088751"	"0.0851719112928917"	"-0.0159734504611688"	"0.0196938753421084"	"-0.115543394653722"	"-0.0696730305903897"	"0.465246588600795"	"0.376917216637596"	"0.371770424408247"	"-0.13310239186212"	"-0.0440538775635723"	"-0.227722290931643"	"-0.161211174996733"	"-0.338615199245432"	"0.28235590951031"	"0.192631236139998"	"-0.0456919117799953"	"-0.0231840603667254"	"0.00761787349587939"	"2.1430637346886e-10"
"bio13"	"-0.193519173083928"	"0.193588959713333"	"0.199148701027645"	"0.197523964045089"	"0.0243465008759338"	"-0.213466537864167"	"0.0645144296331642"	"-0.326114827300169"	"-0.0991366388853499"	"-0.20626133102818"	"-0.0956037614307074"	"-0.274182520358926"	"0.00157285214669948"	"-0.445646459984235"	"-0.0162054198159663"	"-0.14906680125032"	"-0.265200467299161"	"0.00251117502847133"	"0.352553444156788"	"-0.0289950709853417"	"-0.35902461520438"	"0.0263156972576489"	"-0.0689810954465391"	"0.00835743234375282"	"-0.0453610829364466"	"-9.43516332124819e-05"	"2.75913618723814e-09"
"bio14"	"-0.206818141874039"	"0.121279398579699"	"-0.161672497181751"	"0.0125783253265038"	"-0.365057386882415"	"-0.0609805232551003"	"-0.116716639636501"	"0.344117573194352"	"0.332086510428572"	"-0.013427719477278"	"-0.0233577411471843"	"-0.0761956375485664"	"-0.0939488906647728"	"-0.384130856719674"	"-0.12878004036065"	"-0.239070232280144"	"0.105185853548054"	"0.0868773639679147"	"-0.475291188484866"	"-0.077855818690348"	"-0.215230391826975"	"0.001833244428302"	"0.0562559301735867"	"-0.00775778135634439"	"0.00647781423515004"	"-0.00958738615017717"	"4.40508930750387e-09"
"bio15"	"0.167879632581278"	"0.0883098642306418"	"0.0685035430103739"	"-0.026268479412495"	"0.470285947836115"	"-0.672117921163259"	"-0.358577753799744"	"0.164880677268324"	"0.229480223543466"	"0.2727007525333"	"0.0237007871690142"	"-0.0306574615119962"	"-0.00082245411399515"	"-0.00189110997498089"	"0.000889358368443301"	"0.0244800296761824"	"-0.015313023209376"	"0.0213983661380529"	"0.00215523465919675"	"0.0108745226407902"	"6.30511819622306e-05"	"0.00291321941352994"	"-0.000193305535492237"	"-0.00111258497248103"	"0.000443253324106884"	"0.00140524814995358"	"-8.79885482096597e-10"
"bio16"	"-0.196336474511718"	"0.196276266472473"	"0.185907223293074"	"0.179010224557091"	"0.00682434075112478"	"-0.206933492941799"	"0.0485174841298268"	"-0.314076531922429"	"-0.0945325295818473"	"-0.170020554439345"	"-0.0777794490599238"	"-0.151042642038828"	"-0.0141650927280414"	"-0.0659423529778716"	"0.0294163598492662"	"0.0404260744614583"	"0.151675854930157"	"0.130452677839821"	"-0.371389095179391"	"-0.0765838966122786"	"0.664116615904958"	"-0.101171207535247"	"0.0439793506339557"	"-0.022791070687815"	"0.032821842077324"	"-0.00800361953768454"	"-1.29225622742079e-08"
"bio17"	"-0.208625645135796"	"0.130439666908463"	"-0.139645368043587"	"0.0320912827396819"	"-0.357253615717571"	"-0.0392829673594825"	"-0.0887777179941236"	"0.28105913419984"	"0.330453184457444"	"0.029706631995362"	"0.00827486910490039"	"-0.16643782687408"	"-0.0557984308619887"	"0.0293801038962511"	"0.130587622766027"	"0.185723170125047"	"-0.167075514591121"	"-0.0313127828762737"	"0.540122695086345"	"0.0419479133418739"	"0.41780317635739"	"-0.0304058373276363"	"-0.107188811630822"	"0.00291356445691514"	"-0.0114259991538465"	"0.00266072155870052"	"-7.33560723287184e-09"
"bio18"	"-0.223111894411431"	"-0.00104579312986851"	"-0.184585170651763"	"0.0892903596689767"	"-0.0705546627119729"	"-0.206977197474971"	"-0.0534802736795394"	"0.116210157110585"	"-0.217158386152892"	"-0.138786937966585"	"-0.183334585476866"	"-0.32630287130244"	"0.259563357258299"	"0.502314174188222"	"-0.373343789963016"	"-0.199635543473154"	"0.25070881622526"	"-0.0268408970962131"	"0.0803499212716501"	"0.129787546096477"	"-0.13522618609949"	"-0.169863964135338"	"-0.0611887756729498"	"0.0186169183422198"	"0.0208123747474011"	"0.00397490633345893"	"1.23292046397845e-08"
"bio19"	"-0.13944117071807"	"0.302018666218442"	"0.309955658120794"	"0.137531741099033"	"-0.134789997002497"	"-0.0482159292326165"	"0.0407623363972499"	"-0.217470800331088"	"0.342851222970567"	"0.0119016246277972"	"0.143752183956435"	"0.595932940106375"	"-0.0107127768336051"	"0.200562500653685"	"-0.232548733278583"	"-0.146877933882955"	"0.153889894726191"	"-0.0817373732564515"	"0.108829468506698"	"0.172099342786707"	"-0.0786372472633238"	"-0.0985020290306411"	"-0.0715942787164363"	"0.0464014280280017"	"0.0202525679910935"	"0.00480289423059539"	"9.19759219579097e-09"
"bio2"	"0.212657617471338"	"-0.00288763470678162"	"0.0575198495095598"	"-0.0247401338985459"	"-0.221272046750488"	"-0.362633081147381"	"0.519687217395927"	"0.188959767759446"	"-0.202061775404185"	"0.060471139235581"	"0.0691465956096442"	"0.0137849394834334"	"-0.328912392595343"	"0.0173112166494948"	"-0.308995811941695"	"0.149282150886979"	"-0.306126963747322"	"-0.219625384539749"	"-0.107558247924999"	"0.105752721690659"	"0.0309180517337819"	"-0.133044993761355"	"0.0682795268478398"	"-0.0253337652692989"	"0.0132077800479693"	"-0.00792703700155276"	"-6.1491377244633e-09"
"bio28"	"-0.23370735504394"	"0.0458697106557429"	"0.0232117324787935"	"0.0263601063423421"	"0.076046261156139"	"0.0302027110883806"	"0.0309563559724428"	"0.103330028817742"	"-0.169957601351841"	"0.220239154831525"	"0.0843299828340885"	"0.00491392383602119"	"-0.0683568722763905"	"0.079668137045939"	"0.489026494256534"	"-0.345641270310666"	"-0.196521995465769"	"-0.22894581569188"	"-0.163292840311309"	"0.119070886966429"	"-0.0235513281249633"	"-0.367126908022672"	"-0.358680447285737"	"0.0486282512319947"	"0.266852690913648"	"-0.0104147086862907"	"2.93933948087934e-08"
"bio29"	"-0.218325640574708"	"0.0692290584305113"	"0.205369124773022"	"0.119687829355251"	"0.169373603075891"	"0.136671923203628"	"0.110342172822377"	"0.220670070167804"	"-0.101836775857602"	"0.207945612492553"	"-0.0177780190570337"	"-0.0816899502622333"	"-0.0978886102258941"	"-0.193478209099622"	"-0.0681506196219412"	"0.311084985405254"	"0.421479951620106"	"-0.097874677817608"	"0.163331736010507"	"-0.0247291184394063"	"-0.0938698969012933"	"-0.0458273195144389"	"0.249744666940839"	"0.0304660806772236"	"0.533439133044595"	"0.0219847336127773"	"-8.90186967442051e-09"
"bio3"	"0.168192951618014"	"0.280084663807135"	"-0.0875519602099316"	"-0.158973423617837"	"-0.00942736334550119"	"-0.178485424596618"	"0.519896666815369"	"0.155846378507389"	"0.0655064912427463"	"-0.0642642995376056"	"-0.0308099512954147"	"0.0783386069302179"	"0.596293192916207"	"-0.114638771494433"	"0.307620391130618"	"0.0112596350698813"	"0.197977098603781"	"0.0982187387105431"	"0.0311761573006744"	"0.0103306663536325"	"-0.031588736486728"	"0.0226908107099007"	"-0.0376188702679712"	"-0.0279017238764185"	"-0.00560231431424049"	"0.0341912489491122"	"8.39244937894946e-09"
