"Variable"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"
"bio1"	"0.152335727010816"	"0.290859324109317"	"-0.121643336575263"	"0.0507282747078431"	"-0.0932019735266589"	"0.0302466333890776"	"-0.0897135115294968"	"0.104987582291604"	"-0.127224079554901"	"0.0367118531901773"	"-0.128783516966976"	"0.146375255579693"	"-0.0587207718448863"	"-0.0226681545687568"	"-0.0275989358101676"	"-0.00880081231077072"	"-0.0540206473330863"	"-0.127098127943342"	"-0.462448379867605"	"0.302039209497384"	"0.028443715955931"	"0.018177575804463"	"0.0251883084140727"	"0.107128338393787"	"0.653664025129874"	"0.145329521908135"	"2.29286769317707e-08"
"bio10"	"0.186440187831006"	"0.220001116138094"	"-0.224272188103981"	"-0.0511681559163671"	"-0.180385281771648"	"-0.0354883432640521"	"-0.219164551939319"	"0.152193876524049"	"-0.172622000972427"	"0.0552131145751943"	"-0.164889818683582"	"0.182363890102304"	"-0.193783465103531"	"0.0586657531830898"	"-0.0271381400138683"	"-0.0211104051622658"	"-0.0162959693470867"	"-0.156529557457725"	"-0.0566363601717014"	"0.221420021788993"	"0.191720710213659"	"-0.0860719235797121"	"-0.0482493311247704"	"-0.100340201754595"	"-0.42223235058055"	"-0.558227574304624"	"1.08983109145155e-08"
"bio11"	"0.122145419577144"	"0.322330272222812"	"-0.0148338126574102"	"0.122312265751353"	"-0.0202058075089094"	"0.0653953000702019"	"-0.00973900190991101"	"0.0319878662521018"	"-0.0631083004611639"	"0.0359666222472806"	"-0.108509491089253"	"0.103195355197244"	"0.0700882342543526"	"0.0171779540477749"	"0.0510766422667602"	"-0.011217306135079"	"-0.0461536010404149"	"-0.0376485527098141"	"-0.174765634298857"	"-0.00377876397701922"	"0.0567664314572298"	"-0.0468636259636545"	"-0.0304580868320537"	"-0.0634086195191679"	"-0.526684125161751"	"0.709006706724045"	"-5.9129351897599e-08"
"bio12"	"-0.220271467625488"	"0.184862330741928"	"-0.0501903074941214"	"-0.164128014253047"	"0.102604672159183"	"-0.0898535366011136"	"-0.14336641788016"	"-0.0916541114579774"	"0.00739607736532435"	"0.00957683506191019"	"-0.0377342106202602"	"0.0537582903310032"	"0.113325274603677"	"-0.0193275376126769"	"0.262453036176893"	"0.620445607046453"	"0.0482316172960895"	"-0.0197944802687897"	"0.109955311166462"	"0.167116921423272"	"0.049418792086646"	"0.539054849946193"	"-0.171593185346744"	"0.0551343848240389"	"-0.0229667346656712"	"0.00354911249309525"	"6.57478631283329e-09"
"bio13"	"-0.197898981174754"	"0.174936455437062"	"-0.0380029480910048"	"-0.371160385475507"	"0.149256380486021"	"0.132724115020573"	"-0.0497802042676559"	"-0.25134083729384"	"-0.111866082128491"	"0.27100084977185"	"-0.0213088064541679"	"-0.0915967223729255"	"0.101403056174398"	"0.109636250241549"	"-0.523600761188559"	"-0.162879309055016"	"-0.0753175325182659"	"-0.325425926701326"	"-0.0528960089794681"	"-0.255183041138734"	"0.158645557134872"	"0.207459699089128"	"0.114595667701143"	"0.081889895184155"	"-0.0122106148785373"	"-0.003100690021573"	"7.52647100104656e-09"
"bio14"	"-0.217731237167833"	"0.150107706806823"	"-0.0767384715443359"	"0.123738679786348"	"0.118074033276352"	"-0.304853384734931"	"-0.278319820295019"	"0.113594137985575"	"0.374386212534234"	"-0.178532745969234"	"-0.0782559448567306"	"0.00134472646221829"	"0.0793446194394656"	"0.169355819419622"	"-0.312541432213003"	"-0.263416853513498"	"0.00817572072234696"	"0.491718405690216"	"-0.0401159119275973"	"0.123461895868405"	"0.216296360486287"	"0.139954658834291"	"-0.0750677676993731"	"0.0238977630342719"	"-0.00731576454468445"	"0.00828347282319192"	"-1.92240484553839e-09"
"bio15"	"0.174597151672663"	"-0.0344463542489798"	"0.127831811427203"	"-0.316088519218089"	"0.409666897470133"	"0.519036241854927"	"-0.200082128091786"	"0.43955391803496"	"0.0801330560234581"	"-0.358064682090589"	"-0.187800293901237"	"-0.0960836940952644"	"0.0285656809409552"	"0.00384555496872613"	"0.0269736528583908"	"-6.91998256064565e-05"	"0.00975760356776585"	"-0.00642904976400148"	"0.0164306754379264"	"-0.0112471196376781"	"-0.0153906757469233"	"0.0106854628752364"	"-0.00466589679516937"	"-5.66739200894492e-05"	"0.00107056820249868"	"-0.00350256207257712"	"-4.18782858015031e-10"
"bio16"	"-0.203823834559487"	"0.175609577042046"	"-0.0328593710025637"	"-0.350381213368736"	"0.139064057278689"	"0.104710769452964"	"-0.0521882669205858"	"-0.210258676766336"	"-0.162416185316872"	"0.198496645059573"	"0.016610789192459"	"0.0193970850314516"	"0.0750988696527057"	"-0.0424901569153325"	"-0.06921812837807"	"0.0962711807656463"	"-0.00858872365427993"	"0.403787326049398"	"0.029045117826964"	"0.326370844307053"	"-0.351930184847654"	"-0.4826322348506"	"-0.0702370370538273"	"-0.0783668837671049"	"-0.0158152059065225"	"-0.00229850507585592"	"-1.17341700082703e-08"
"bio17"	"-0.218672155967787"	"0.158198656143907"	"-0.0799961264878893"	"0.0972622545411468"	"0.108552050632433"	"-0.296769996566266"	"-0.251370549295414"	"0.073872437613511"	"0.343833454328156"	"-0.156873509747044"	"-0.0801762171562674"	"-0.0522527725547666"	"0.0451414905942356"	"0.0603874296424693"	"0.000314985686107881"	"0.156721709578504"	"-0.073629214768845"	"-0.503754615011043"	"-0.00465847179194459"	"-0.128699385352476"	"-0.401634852207672"	"-0.331308506374075"	"0.111500090178786"	"-0.0313770500173207"	"0.00424582382052067"	"-0.0165730129920495"	"1.63439704426499e-10"
"bio18"	"-0.223465572814996"	"0.0667132540414269"	"-0.335393665442674"	"0.00320960274927315"	"0.126825005354957"	"0.116501759940422"	"0.0113197643977732"	"0.104184557615032"	"0.282289776987458"	"0.402346615339758"	"-0.175486269747683"	"-0.206036428228033"	"-0.213798077007843"	"-0.492833098890523"	"0.303008221953434"	"-0.134191976014258"	"0.111808478508014"	"0.0484301093223339"	"-0.0360230501012476"	"-0.128047112440557"	"0.195157501019859"	"-0.0500686711671887"	"0.0724589330970678"	"-0.0202897003411688"	"0.0207352583096227"	"0.00394737697670394"	"-5.74966930403622e-10"
