"sp"	"x"	"y"	"Partition"	"PresAbse"
"calonectria_pseudonaviculata"	-0.64	51.58	1	1
"calonectria_pseudonaviculata"	-72.8	41.33	1	1
"calonectria_pseudonaviculata"	-122.38	37.57	1	1
"calonectria_pseudonaviculata"	-75.17	39.95	1	1
"calonectria_pseudonaviculata"	-2.13	57.15	1	1
"calonectria_pseudonaviculata"	39.74	43.57	1	1
"calonectria_pseudonaviculata"	-79.89	36.1	1	1
"calonectria_pseudonaviculata"	15.85	57.31	1	1
"calonectria_pseudonaviculata"	-1.09	53.54	1	1
"calonectria_pseudonaviculata"	49.55	37.02	1	1
"calonectria_pseudonaviculata"	-78.16	38.71	1	1
"calonectria_pseudonaviculata"	-82.48	40.15	1	1
"calonectria_pseudonaviculata"	-0.45	50.95	1	1
"calonectria_pseudonaviculata"	37.88	40.99	1	1
"calonectria_pseudonaviculata"	14.32	45.36	1	1
"calonectria_pseudonaviculata"	8.23	53.01	1	1
"calonectria_pseudonaviculata"	-2.7	51.96	1	1
"calonectria_pseudonaviculata"	-86.59	34.72	1	1
"calonectria_pseudonaviculata"	-85.68	35.4	1	1
"calonectria_pseudonaviculata"	-79.87	36.69	1	1
"calonectria_pseudonaviculata"	2.16	48.66	1	1
"calonectria_pseudonaviculata"	-83.94	35.99	1	1
"calonectria_pseudonaviculata"	-77.61	38.2	1	1
"calonectria_pseudonaviculata"	9.46	51.31	1	1
"calonectria_pseudonaviculata"	-73.77	41.06	1	1
"calonectria_pseudonaviculata"	-1.39	51.78	1	1
"calonectria_pseudonaviculata"	10.85	59.93	1	1
"calonectria_pseudonaviculata"	-76.18	40.69	1	1
"calonectria_pseudonaviculata"	16.15	50.34	1	1
"calonectria_pseudonaviculata"	-72.62	40.98	1	1
"calonectria_pseudonaviculata"	-2.1	51.5	1	1
"calonectria_pseudonaviculata"	-84.23	33.8	1	1
"calonectria_pseudonaviculata"	-94.58	39.1	1	1
"calonectria_pseudonaviculata"	-77.79	38.72	1	1
"calonectria_pseudonaviculata"	-75.25	40.41	1	1
"calonectria_pseudonaviculata"	52.86	36.47	1	1
"calonectria_pseudonaviculata"	12.02	54.04	1	1
"calonectria_pseudonaviculata"	-83.47	33.6	1	1
"calonectria_pseudonaviculata"	13.37	52.52	1	1
"calonectria_pseudonaviculata"	-76.71	37.27	1	1
"calonectria_pseudonaviculata"	-72.38	41.84	1	1
"calonectria_pseudonaviculata"	12.99	55.6	1	1
"calonectria_pseudonaviculata"	40.95	40.91	1	1
"calonectria_pseudonaviculata"	-78.63	38.49	1	1
"calonectria_pseudonaviculata"	-122.91	44.54	1	1
"calonectria_pseudonaviculata"	12.57	56.19	1	1
"calonectria_pseudonaviculata"	-122.46	45.42	1	1
"calonectria_pseudonaviculata"	-79.92	43.68	1	1
"calonectria_pseudonaviculata"	50.28	37.14	1	1
"calonectria_pseudonaviculata"	-79.24	43.16	1	1
"calonectria_pseudonaviculata"	-79.07	38.15	1	1
"calonectria_pseudonaviculata"	-84.92	33.17	1	1
"calonectria_pseudonaviculata"	-1.31	51.06	1	1
"calonectria_pseudonaviculata"	-79.11	40.69	1	1
"calonectria_pseudonaviculata"	42.07	42.62	1	1
"calonectria_pseudonaviculata"	-73.56	42.67	1	1
"calonectria_pseudonaviculata"	-76.29	36.85	1	1
"calonectria_pseudonaviculata"	-78.93	36.69	1	1
"calonectria_pseudonaviculata"	-72.11	41.4	1	1
"calonectria_pseudonaviculata"	-78.43	37.2	1	1
"calonectria_pseudonaviculata"	-85.15	35.16	1	1
"calonectria_pseudonaviculata"	13.2	55.71	1	1
"calonectria_pseudonaviculata"	39.71	40.81	1	1
"calonectria_pseudonaviculata"	-79.47	37.25	1	1
"calonectria_pseudonaviculata"	-77.24	38.91	1	1
"calonectria_pseudonaviculata"	42.16	42.69	1	1
"calonectria_pseudonaviculata"	-83.68	39.89	1	1
"calonectria_pseudonaviculata"	-81.68	41.43	1	1
"calonectria_pseudonaviculata"	-86.82	36.13	1	1
"calonectria_pseudonaviculata"	42.04	41.75	1	1
"calonectria_pseudonaviculata"	-83.34	42.58	1	1
"calonectria_pseudonaviculata"	-82.99	40.02	1	1
"calonectria_pseudonaviculata"	15.02	56.28	1	1
"calonectria_pseudonaviculata"	-78.61	38.06	1	1
"calonectria_pseudonaviculata"	-76.38	40.02	1	1
"calonectria_pseudonaviculata"	48.87	38.42	1	1
"calonectria_pseudonaviculata"	-79.79	36.07	1	1
"calonectria_pseudonaviculata"	-74.64	40.53	1	1
"calonectria_pseudonaviculata"	-85.48	38.36	1	1
"calonectria_pseudonaviculata"	-2.24	51.86	1	1
"calonectria_pseudonaviculata"	-81.95	36.77	1	1
"calonectria_pseudonaviculata"	7.67	47.56	1	1
"calonectria_pseudonaviculata"	-122.65	45.52	1	1
"calonectria_pseudonaviculata"	-80.12	37.25	1	1
"calonectria_pseudonaviculata"	12.69	56.05	1	1
"calonectria_pseudonaviculata"	-86.22	37.96	1	1
"calonectria_pseudonaviculata"	-84.51	38.06	1	1
"calonectria_pseudonaviculata"	-84.88	38.73	1	1
"calonectria_pseudonaviculata"	-86.34	35.77	1	1
"calonectria_pseudonaviculata"	12.63	56.1	1	1
"calonectria_pseudonaviculata"	-77.42	38.43	1	1
"calonectria_pseudonaviculata"	-86.86	35.92	1	1
"calonectria_pseudonaviculata"	-83.85	35.67	1	1
"calonectria_pseudonaviculata"	41	41.05	1	1
"calonectria_pseudonaviculata"	49.02	37.66	1	1
"calonectria_pseudonaviculata"	-77.65	39.08	1	1
"calonectria_pseudonaviculata"	0.78	51.21	1	1
"calonectria_pseudonaviculata"	42.38	42.42	1	1
"calonectria_pseudonaviculata"	41.88	41.66	1	1
"calonectria_pseudonaviculata"	9.39	53.71	1	1
"calonectria_pseudonaviculata"	-76.96	37.97	1	1
"calonectria_pseudonaviculata"	-81.29	41.69	1	1
"calonectria_pseudonaviculata"	-87.85	42.68	1	1
"calonectria_pseudonaviculata"	-89.37	38.61	1	1
"calonectria_pseudonaviculata"	2.38	48.84	1	1
"calonectria_pseudonaviculata"	-87.7	41.74	1	1
"calonectria_pseudonaviculata"	-80.32	36.94	1	1
"calonectria_pseudonaviculata"	0.15	45.75	1	1
"calonectria_pseudonaviculata"	-122.98	45.21	1	1
"calonectria_pseudonaviculata"	-0.33	51.23	1	1
"calonectria_pseudonaviculata"	-122	37.82	1	1
"calonectria_pseudonaviculata"	-77.2	39.29	1	1
"calonectria_pseudonaviculata"	-86.98	35.09	1	1
"calonectria_pseudonaviculata"	-122.3	49.05	1	1
"calonectria_pseudonaviculata"	-0.25	53.12	1	1
"calonectria_pseudonaviculata"	-124.36	43.33	1	1
"calonectria_pseudonaviculata"	-85.36	43.62	1	1
"calonectria_pseudonaviculata"	-79.96	36.66	1	1
"calonectria_pseudonaviculata"	5.95	52.24	1	1
"calonectria_pseudonaviculata"	-122.69	45.26	1	1
"calonectria_pseudonaviculata"	-84.59	30.59	1	1
"calonectria_pseudonaviculata"	41.53	41.39	1	1
"calonectria_pseudonaviculata"	-75.06	39.26	1	1
"calonectria_pseudonaviculata"	13.66	55.85	1	1
"calonectria_pseudonaviculata"	16.43	49.26	1	1
"calonectria_pseudonaviculata"	-1.6	53.12	1	1
"calonectria_pseudonaviculata"	-92.22	34.75	1	1
"calonectria_pseudonaviculata"	0.51	47.34	1	1
"calonectria_pseudonaviculata"	-84.39	33.88	1	1
"calonectria_pseudonaviculata"	-74.5	40.75	1	1
"calonectria_pseudonaviculata"	16.27	47.15	1	1
"calonectria_pseudonaviculata"	-71.29	42.47	1	1
"calonectria_pseudonaviculata"	9.12	45.72	1	1
"calonectria_pseudonaviculata"	-81.63	38.35	1	1
"calonectria_pseudonaviculata"	0.04	44.58	1	1
"calonectria_pseudonaviculata"	-75.43	38.65	1	1
"calonectria_pseudonaviculata"	-84.86	35.19	1	1
"calonectria_pseudonaviculata"	-72.65	41.73	1	1
"calonectria_pseudonaviculata"	-121.91	49.19	1	1
"calonectria_pseudonaviculata"	-76.53	37.21	1	1
"calonectria_pseudonaviculata"	30.62	40.68	1	1
"calonectria_pseudonaviculata"	42.35	42.6	1	1
"calonectria_pseudonaviculata"	-78.88	38.58	1	1
"calonectria_pseudonaviculata"	5.04	47.32	1	1
"calonectria_pseudonaviculata"	-86.81	33.52	1	1
"calonectria_pseudonaviculata"	13.06	47.81	1	1
"calonectria_pseudonaviculata"	51.11	36.72	1	1
"calonectria_pseudonaviculata"	49.17	37.33	1	1
"calonectria_pseudonaviculata"	-78.76	35.75	1	1
"calonectria_pseudonaviculata"	-150.71598139993	65.8031081729602	1	0
"calonectria_pseudonaviculata"	-71.9716721673578	59.4085991920058	1	0
"calonectria_pseudonaviculata"	-85.081145149648	53.2111597362164	1	0
"calonectria_pseudonaviculata"	-124.243135993202	59.1481123968675	1	0
"calonectria_pseudonaviculata"	-5.58116570351195	37.1888246617282	1	0
"calonectria_pseudonaviculata"	44.2306440558756	49.0377697830014	1	0
"calonectria_pseudonaviculata"	40.1619601325881	63.7950350670122	1	0
"calonectria_pseudonaviculata"	-159.63060808307	68.4950871325396	1	0
"calonectria_pseudonaviculata"	-156.635666246341	59.4963219827794	1	0
"calonectria_pseudonaviculata"	-65.0472222223731	46.2611111099601	1	0
"calonectria_pseudonaviculata"	-100.929640718662	46.8611111099555	1	0
"calonectria_pseudonaviculata"	25.42061855642	62.1878006860182	1	0
"calonectria_pseudonaviculata"	54.4937499996771	30.0540178561098	1	0
"calonectria_pseudonaviculata"	34.2499999997063	35.58333333226	1	0
"calonectria_pseudonaviculata"	-128.128487518416	62.6312408210499	1	0
"calonectria_pseudonaviculata"	-103.867666022016	36.9310122490781	1	0
"calonectria_pseudonaviculata"	38.9724742888706	49.9516031446176	1	0
"calonectria_pseudonaviculata"	48.889653414568	47.2284233763478	1	0
"calonectria_pseudonaviculata"	-134.200000000051	62.0223333320673	1	0
"calonectria_pseudonaviculata"	58.9762596895931	46.4370155027237	1	0
"calonectria_pseudonaviculata"	-110.57736974271	49.2580037653054	1	0
"calonectria_pseudonaviculata"	-88.9095978637672	66.5558435425279	1	0
"calonectria_pseudonaviculata"	-162.968717139863	61.127497369929	1	0
"calonectria_pseudonaviculata"	-137.289784946284	58.6645161277911	1	0
"calonectria_pseudonaviculata"	-131.143254395463	67.206404734972	1	0
"calonectria_pseudonaviculata"	11.114508393025	28.9294200992584	1	0
"calonectria_pseudonaviculata"	-117.610368389856	52.8120915020694	1	0
"calonectria_pseudonaviculata"	-124.665927568432	55.0417590527392	1	0
"calonectria_pseudonaviculata"	59.7070868942565	33.6013176627589	1	0
"calonectria_pseudonaviculata"	3.8424349879297	28.1851063819592	1	0
"calonectria_pseudonaviculata"	-113.866230366573	53.9358638731387	1	0
"calonectria_pseudonaviculata"	-115.615248227029	68.2541371145282	1	0
"calonectria_pseudonaviculata"	-10.1665834168132	28.1079753569565	1	0
"calonectria_pseudonaviculata"	-130.064176245268	58.64761600557	1	0
"calonectria_pseudonaviculata"	7.06206560997615	33.068320821853	1	0
"calonectria_pseudonaviculata"	-111.257515030145	64.0587842338561	1	0
"calonectria_pseudonaviculata"	-16.664344685463	64.4940660461881	1	0
"calonectria_pseudonaviculata"	-82.4166666667926	27.2499999989873	1	0
"calonectria_pseudonaviculata"	-108.560397553605	54.7160210657258	1	0
"calonectria_pseudonaviculata"	29.793687942975	56.7370921973541	1	0
"calonectria_pseudonaviculata"	38.7549301558214	28.1853601742749	1	0
"calonectria_pseudonaviculata"	-109.355595667957	38.7525571589517	1	0
"calonectria_pseudonaviculata"	-164.366040955639	66.3447098963135	1	0
"calonectria_pseudonaviculata"	20.7502754818194	65.9866391171629	1	0
"calonectria_pseudonaviculata"	-96.2134464753018	57.1049463289121	1	0
"calonectria_pseudonaviculata"	45.3776773758617	64.7135207483799	1	0
"calonectria_pseudonaviculata"	-100.976325757675	41.7182765140336	1	0
"calonectria_pseudonaviculata"	-65.0443770674056	57.1516905537127	1	0
"calonectria_pseudonaviculata"	-112.156087602162	44.2483296202444	1	0
"calonectria_pseudonaviculata"	-147.833556747128	68.539767648374	1	0
"calonectria_pseudonaviculata"	23.2830271213318	28.9966097977497	1	0
"calonectria_pseudonaviculata"	-76.0754901962135	61.5492156850122	1	0
"calonectria_pseudonaviculata"	-72.8289594844861	68.6742633504352	1	0
"calonectria_pseudonaviculata"	17.10275900874	65.2964527014132	1	0
"calonectria_pseudonaviculata"	-42.17636229768	66.0634511523623	1	0
"calonectria_pseudonaviculata"	59.582115518111	41.1374391081416	1	0
"calonectria_pseudonaviculata"	-66.4675615214017	52.1431767325869	1	0
"calonectria_pseudonaviculata"	53.7753202260708	43.5157134334831	1	0
"calonectria_pseudonaviculata"	-0.888962963206133	32.1169629619149	1	0
"calonectria_pseudonaviculata"	-67.0833333334813	65.4166666653764	1	0
"calonectria_pseudonaviculata"	-51.2500000001708	68.7499999986855	1	0
"calonectria_pseudonaviculata"	-150.368044721817	62.0664326560403	1	0
"calonectria_pseudonaviculata"	-141.833124477902	60.9442355877147	1	0
"calonectria_pseudonaviculata"	44.3997747744666	54.4012226500122	1	0
"calonectria_pseudonaviculata"	-106.403115395453	44.2027801050388	1	0
"calonectria_pseudonaviculata"	-139.467566016117	63.6028511276933	1	0
"calonectria_pseudonaviculata"	-95.7455412055187	45.9463407122583	1	0
"calonectria_pseudonaviculata"	28.5220450278571	27.4557535949833	1	0
"calonectria_pseudonaviculata"	-105.146374719375	50.3910009612827	1	0
"calonectria_pseudonaviculata"	-70.5056448528029	55.1036165315056	1	0
"calonectria_pseudonaviculata"	43.0951923073859	59.5685897423418	1	0
"calonectria_pseudonaviculata"	-36.7242592594508	68.919074072758	1	0
"calonectria_pseudonaviculata"	-145.288389513144	64.1271535567712	1	0
