Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAM	PC1	0.324
2	calonectria_pseudonaviculata	GAM	PC2	0.168
3	calonectria_pseudonaviculata	GAM	PC3	0.007
4	calonectria_pseudonaviculata	GAM	PC4	0.344
5	calonectria_pseudonaviculata	GAM	PC5	0.147
6	calonectria_pseudonaviculata	GAM	PC6	0.009
1	calonectria_pseudonaviculata	GAM	PC1	0.213
2	calonectria_pseudonaviculata	GAM	PC2	0.076
3	calonectria_pseudonaviculata	GAM	PC3	0.143
4	calonectria_pseudonaviculata	GAM	PC4	0.207
5	calonectria_pseudonaviculata	GAM	PC5	0.16
6	calonectria_pseudonaviculata	GAM	PC6	0.2
1	calonectria_pseudonaviculata	GAM	PC1	0.165
2	calonectria_pseudonaviculata	GAM	PC2	0.167
3	calonectria_pseudonaviculata	GAM	PC3	0.167
4	calonectria_pseudonaviculata	GAM	PC4	0.167
5	calonectria_pseudonaviculata	GAM	PC5	0.167
6	calonectria_pseudonaviculata	GAM	PC6	0.167
