Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	PC1	0.193
2	calonectria_pseudonaviculata	GAU	PC2	0.466
3	calonectria_pseudonaviculata	GAU	PC3	0.1
4	calonectria_pseudonaviculata	GAU	PC4	0.06
5	calonectria_pseudonaviculata	GAU	PC5	0.118
6	calonectria_pseudonaviculata	GAU	PC6	0.063
1	calonectria_pseudonaviculata	GAU	PC1	0.198
2	calonectria_pseudonaviculata	GAU	PC2	0.485
3	calonectria_pseudonaviculata	GAU	PC3	0.082
4	calonectria_pseudonaviculata	GAU	PC4	0.07
5	calonectria_pseudonaviculata	GAU	PC5	0.107
6	calonectria_pseudonaviculata	GAU	PC6	0.059
1	calonectria_pseudonaviculata	GAU	PC1	0.198
2	calonectria_pseudonaviculata	GAU	PC2	0.484
3	calonectria_pseudonaviculata	GAU	PC3	0.082
4	calonectria_pseudonaviculata	GAU	PC4	0.071
5	calonectria_pseudonaviculata	GAU	PC5	0.106
6	calonectria_pseudonaviculata	GAU	PC6	0.06
