Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.236
2	calonectria_pseudonaviculata	RDF	PC2	0.479
3	calonectria_pseudonaviculata	RDF	PC3	0.066
4	calonectria_pseudonaviculata	RDF	PC4	0.055
5	calonectria_pseudonaviculata	RDF	PC5	0.117
6	calonectria_pseudonaviculata	RDF	PC6	0.046
1	calonectria_pseudonaviculata	RDF	PC1	0.243
2	calonectria_pseudonaviculata	RDF	PC2	0.649
3	calonectria_pseudonaviculata	RDF	PC3	0.005
4	calonectria_pseudonaviculata	RDF	PC4	0.002
5	calonectria_pseudonaviculata	RDF	PC5	0.1
6	calonectria_pseudonaviculata	RDF	PC6	0.001
1	calonectria_pseudonaviculata	RDF	PC1	0.245
2	calonectria_pseudonaviculata	RDF	PC2	0.651
3	calonectria_pseudonaviculata	RDF	PC3	0.005
4	calonectria_pseudonaviculata	RDF	PC4	0.001
5	calonectria_pseudonaviculata	RDF	PC5	0.097
6	calonectria_pseudonaviculata	RDF	PC6	0.001
