Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAM	bio15	0.091
2	calonectria_pseudonaviculata	GAM	bio33	0.229
3	calonectria_pseudonaviculata	GAM	bio5	0.299
4	calonectria_pseudonaviculata	GAM	bio6	0.359
5	calonectria_pseudonaviculata	GAM	bio7	0.021
1	calonectria_pseudonaviculata	GAM	bio15	0.009
2	calonectria_pseudonaviculata	GAM	bio33	0.245
3	calonectria_pseudonaviculata	GAM	bio5	0.282
4	calonectria_pseudonaviculata	GAM	bio6	0.37
5	calonectria_pseudonaviculata	GAM	bio7	0.094
1	calonectria_pseudonaviculata	GAM	PC1	0.332
2	calonectria_pseudonaviculata	GAM	PC2	0.363
3	calonectria_pseudonaviculata	GAM	PC3	0.06
4	calonectria_pseudonaviculata	GAM	PC4	0.009
5	calonectria_pseudonaviculata	GAM	PC5	0.172
6	calonectria_pseudonaviculata	GAM	PC6	0.064
