Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	bio15	0.217
2	calonectria_pseudonaviculata	GAU	bio33	0.138
3	calonectria_pseudonaviculata	GAU	bio5	0.099
4	calonectria_pseudonaviculata	GAU	bio6	0.286
5	calonectria_pseudonaviculata	GAU	bio7	0.26
1	calonectria_pseudonaviculata	GAU	bio15	0.228
2	calonectria_pseudonaviculata	GAU	bio33	0.152
3	calonectria_pseudonaviculata	GAU	bio5	0.099
4	calonectria_pseudonaviculata	GAU	bio6	0.273
5	calonectria_pseudonaviculata	GAU	bio7	0.249
1	calonectria_pseudonaviculata	GAU	PC1	0.203
2	calonectria_pseudonaviculata	GAU	PC2	0.46
3	calonectria_pseudonaviculata	GAU	PC3	0.096
4	calonectria_pseudonaviculata	GAU	PC4	0.061
5	calonectria_pseudonaviculata	GAU	PC5	0.103
6	calonectria_pseudonaviculata	GAU	PC6	0.076
