"sp"	"x"	"y"	"Partition"	"PresAbse"
"calonectria_pseudonaviculata"	11.98	54.08	1	1
"calonectria_pseudonaviculata"	-1.31	51.06	1	1
"calonectria_pseudonaviculata"	38.71	40.95	1	1
"calonectria_pseudonaviculata"	-2.78	54.26	1	1
"calonectria_pseudonaviculata"	7.22	53.38	1	1
"calonectria_pseudonaviculata"	43.03	42.33	1	1
"calonectria_pseudonaviculata"	12.57	56.19	1	1
"calonectria_pseudonaviculata"	-0.25	53.12	1	1
"calonectria_pseudonaviculata"	3.78	50.98	1	1
"calonectria_pseudonaviculata"	39.74	43.57	1	1
"calonectria_pseudonaviculata"	-8.58	51.95	1	1
"calonectria_pseudonaviculata"	5.04	47.32	1	1
"calonectria_pseudonaviculata"	-1.09	53.54	1	1
"calonectria_pseudonaviculata"	-1.39	51.78	1	1
"calonectria_pseudonaviculata"	50.28	37.14	1	1
"calonectria_pseudonaviculata"	41.37	41.27	1	1
"calonectria_pseudonaviculata"	41.82	42.4	1	1
"calonectria_pseudonaviculata"	30.62	40.68	1	1
"calonectria_pseudonaviculata"	16.43	49.26	1	1
"calonectria_pseudonaviculata"	13.37	52.52	1	1
"calonectria_pseudonaviculata"	7.95	52.63	1	1
"calonectria_pseudonaviculata"	16.27	47.15	1	1
"calonectria_pseudonaviculata"	9.39	53.71	1	1
"calonectria_pseudonaviculata"	-0.64	51.58	1	1
"calonectria_pseudonaviculata"	-2.13	57.15	1	1
"calonectria_pseudonaviculata"	8.23	53.01	1	1
"calonectria_pseudonaviculata"	10.2	56.16	1	1
"calonectria_pseudonaviculata"	9.46	51.31	1	1
"calonectria_pseudonaviculata"	-7.57	43.05	1	1
"calonectria_pseudonaviculata"	15.55	50.55	1	1
"calonectria_pseudonaviculata"	-1.6	53.12	1	1
"calonectria_pseudonaviculata"	52.86	36.47	1	1
"calonectria_pseudonaviculata"	14.05	50.41	1	1
"calonectria_pseudonaviculata"	41	41.05	1	1
"calonectria_pseudonaviculata"	-2.7	51.96	1	1
"calonectria_pseudonaviculata"	13.95	45.62	1	1
"calonectria_pseudonaviculata"	-2.34	55.78	1	1
"calonectria_pseudonaviculata"	0.15	45.75	1	1
"calonectria_pseudonaviculata"	15.02	56.28	1	1
"calonectria_pseudonaviculata"	0.51	47.34	1	1
"calonectria_pseudonaviculata"	16.21	59.76	1	1
"calonectria_pseudonaviculata"	41.88	41.66	1	1
"calonectria_pseudonaviculata"	32.39	41.75	1	1
"calonectria_pseudonaviculata"	0.78	51.21	1	1
"calonectria_pseudonaviculata"	12.85	55.41	1	1
"calonectria_pseudonaviculata"	21.06	55.91	1	1
"calonectria_pseudonaviculata"	-2.18	51.62	1	1
"calonectria_pseudonaviculata"	16.15	50.34	1	1
"calonectria_pseudonaviculata"	52.35	36.47	1	1
"calonectria_pseudonaviculata"	-4.05	54.84	1	1
"calonectria_pseudonaviculata"	41.3190583923478	64.6251346679675	1	0
"calonectria_pseudonaviculata"	45.8824173633394	28.8135205087329	1	0
"calonectria_pseudonaviculata"	58.2543528725792	66.1573321712713	1	0
"calonectria_pseudonaviculata"	33.9166666664602	36.2499999989218	1	0
"calonectria_pseudonaviculata"	13.4979462284151	29.4191560856033	1	0
"calonectria_pseudonaviculata"	2.46049288611541	28.8530233729594	1	0
"calonectria_pseudonaviculata"	52.6458194348874	54.1604958849376	1	0
"calonectria_pseudonaviculata"	7.24999999991477	37.0833333322491	1	0
"calonectria_pseudonaviculata"	52.910786973927	60.5512211656377	1	0
"calonectria_pseudonaviculata"	32.6262102349309	67.1043107409745	1	0
"calonectria_pseudonaviculata"	23.9152089405582	26.8083090368913	1	0
"calonectria_pseudonaviculata"	20.5833333331875	38.7499999989036	1	0
"calonectria_pseudonaviculata"	58.8122984458839	46.5966725288962	1	0
"calonectria_pseudonaviculata"	27.9669540228091	26.012931033479	1	0
"calonectria_pseudonaviculata"	-3.81776989759203	27.9558050948581	1	0
"calonectria_pseudonaviculata"	-8.80728011826795	28.7160014771733	1	0
"calonectria_pseudonaviculata"	18.8547008545628	27.723865876696	1	0
"calonectria_pseudonaviculata"	28.4309366994161	28.3787961936371	1	0
"calonectria_pseudonaviculata"	59.3147804573157	41.2274273334557	1	0
"calonectria_pseudonaviculata"	11.9166666665602	65.7499999987073	1	0
"calonectria_pseudonaviculata"	33.7868383402806	29.0071530747972	1	0
"calonectria_pseudonaviculata"	52.7686058697288	43.8988469590338	1	0
"calonectria_pseudonaviculata"	34.6517667090282	49.6717752223232	1	0
"calonectria_pseudonaviculata"	19.0050486161665	66.2427698815254	1	0
"calonectria_pseudonaviculata"	34.3608829566705	61.300422084069	1	0
"calonectria_pseudonaviculata"	-1.0824768756897	33.20666323978	1	0
"calonectria_pseudonaviculata"	46.8457761633076	47.6289346235362	1	0
"calonectria_pseudonaviculata"	-6.08333333335795	35.4166666655945	1	0
"calonectria_pseudonaviculata"	52.7940281777417	49.0184918336031	1	0
"calonectria_pseudonaviculata"	50.4350694441629	66.0475694431493	1	0
"calonectria_pseudonaviculata"	31.3105050503105	55.7422222210018	1	0
"calonectria_pseudonaviculata"	46.1105747123818	54.3067816079855	1	0
"calonectria_pseudonaviculata"	58.926582450101	52.2389975538175	1	0
"calonectria_pseudonaviculata"	31.0166666664734	26.2861111101054	1	0
"calonectria_pseudonaviculata"	39.3990767733353	29.7767249746733	1	0
"calonectria_pseudonaviculata"	28.7210626184131	47.4381720418511	1	0
"calonectria_pseudonaviculata"	26.0943438912318	51.5715686262612	1	0
"calonectria_pseudonaviculata"	23.1700162401997	30.6119569620161	1	0
"calonectria_pseudonaviculata"	8.28801703154021	27.9131690987392	1	0
"calonectria_pseudonaviculata"	58.9061561558362	58.8072715560288	1	0
"calonectria_pseudonaviculata"	26.6318431619489	62.0018495020102	1	0
"calonectria_pseudonaviculata"	7.21358183367671	33.1771636664678	1	0
"calonectria_pseudonaviculata"	52.2622410543241	30.6749394662747	1	0
"calonectria_pseudonaviculata"	40.9398280799909	50.2699379166802	1	0
"calonectria_pseudonaviculata"	58.5642943484274	27.9816409781298	1	0
"calonectria_pseudonaviculata"	59.1785714282502	33.1428571418016	1	0
"calonectria_pseudonaviculata"	46.040473159085	60.5301824727529	1	0
"calonectria_pseudonaviculata"	42.1615549212968	35.0329291477656	1	0
"calonectria_pseudonaviculata"	25.6962989838658	68.2379051752731	1	0
"calonectria_pseudonaviculata"	39.1256964454952	56.8090778085702	1	0
"calonectria_pseudonaviculata"	14.32	45.36	1	1
"calonectria_pseudonaviculata"	41	41.05	1	1
"calonectria_pseudonaviculata"	0.78	51.21	1	1
"calonectria_pseudonaviculata"	41.88	41.66	1	1
"calonectria_pseudonaviculata"	48.96	37.72	1	1
"calonectria_pseudonaviculata"	7.95	52.63	1	1
"calonectria_pseudonaviculata"	-2.18	51.62	1	1
"calonectria_pseudonaviculata"	9.46	51.31	1	1
"calonectria_pseudonaviculata"	28.98	41.01	1	1
"calonectria_pseudonaviculata"	-1.09	53.54	1	1
"calonectria_pseudonaviculata"	55.2	37.13	1	1
"calonectria_pseudonaviculata"	9.12	45.72	1	1
"calonectria_pseudonaviculata"	9.39	53.71	1	1
"calonectria_pseudonaviculata"	-0.25	53.12	1	1
"calonectria_pseudonaviculata"	15.55	50.55	1	1
"calonectria_pseudonaviculata"	8.23	53.01	1	1
"calonectria_pseudonaviculata"	-1.31	51.06	1	1
"calonectria_pseudonaviculata"	3.78	50.98	1	1
"calonectria_pseudonaviculata"	-8.58	51.95	1	1
"calonectria_pseudonaviculata"	15.85	57.31	1	1
"calonectria_pseudonaviculata"	0.15	45.75	1	1
"calonectria_pseudonaviculata"	10.06	52.57	1	1
"calonectria_pseudonaviculata"	7.22	53.38	1	1
