"sp"	"x"	"y"	"Partition"	"PresAbse"
"calonectria_pseudonaviculata"	42.07	42.62	"2"	1
"calonectria_pseudonaviculata"	45.83	41.95	"1"	1
"calonectria_pseudonaviculata"	28.98	41.01	"1"	1
"calonectria_pseudonaviculata"	42.35	42.6	"2"	1
"calonectria_pseudonaviculata"	40.95	40.91	"2"	1
"calonectria_pseudonaviculata"	42.38	42.42	"2"	1
"calonectria_pseudonaviculata"	55.2	37.13	"1"	1
"calonectria_pseudonaviculata"	38.71	40.95	"2"	1
"calonectria_pseudonaviculata"	42.16	42.69	"2"	1
"calonectria_pseudonaviculata"	39.71	40.81	"2"	1
"calonectria_pseudonaviculata"	43.04	42.34	"2"	1
"calonectria_pseudonaviculata"	37.88	40.99	"2"	1
"calonectria_pseudonaviculata"	30.62	40.68	"1"	1
"calonectria_pseudonaviculata"	41.7	41.4	"2"	1
"calonectria_pseudonaviculata"	49.55	37.02	"1"	1
"calonectria_pseudonaviculata"	41.82	42.4	"2"	1
"calonectria_pseudonaviculata"	52.03	36.58	"1"	1
"calonectria_pseudonaviculata"	51.11	36.72	"1"	1
"calonectria_pseudonaviculata"	41.53	41.39	"2"	1
"calonectria_pseudonaviculata"	42.95	42.38	"2"	1
"calonectria_pseudonaviculata"	42.04	41.75	"2"	1
"calonectria_pseudonaviculata"	48.87	38.42	"1"	1
"calonectria_pseudonaviculata"	50.28	37.14	"1"	1
"calonectria_pseudonaviculata"	13.06	47.81	"1"	1
"calonectria_pseudonaviculata"	6.58	46.6	"1"	1
"calonectria_pseudonaviculata"	16.14	50.34	"1"	1
"calonectria_pseudonaviculata"	-7.57	43.05	"1"	1
"calonectria_pseudonaviculata"	9.39	53.71	"1"	1
"calonectria_pseudonaviculata"	21.06	55.91	"2"	1
"calonectria_pseudonaviculata"	-2.18	51.62	"2"	1
"calonectria_pseudonaviculata"	0.04	44.58	"2"	1
"calonectria_pseudonaviculata"	7.22	53.38	"1"	1
"calonectria_pseudonaviculata"	2.16	48.66	"2"	1
"calonectria_pseudonaviculata"	13.66	55.85	"1"	1
"calonectria_pseudonaviculata"	15.55	50.55	"1"	1
"calonectria_pseudonaviculata"	15.02	56.28	"1"	1
"calonectria_pseudonaviculata"	-0.33	51.23	"2"	1
"calonectria_pseudonaviculata"	-0.64	51.58	"2"	1
"calonectria_pseudonaviculata"	-2.91	54.63	"2"	1
"calonectria_pseudonaviculata"	13.95	45.62	"1"	1
"calonectria_pseudonaviculata"	16.43	49.26	"1"	1
"calonectria_pseudonaviculata"	0.78	51.21	"2"	1
"calonectria_pseudonaviculata"	-1.31	51.06	"2"	1
"calonectria_pseudonaviculata"	12.57	55.68	"1"	1
"calonectria_pseudonaviculata"	-8.58	51.95	"2"	1
"calonectria_pseudonaviculata"	9.12	45.72	"1"	1
"calonectria_pseudonaviculata"	14.05	50.41	"1"	1
"calonectria_pseudonaviculata"	0.15	45.75	"2"	1
"calonectria_pseudonaviculata"	14.32	45.36	"1"	1
"calonectria_pseudonaviculata"	7.49	53.24	"1"	1
"calonectria_pseudonaviculata"	-1.6	53.12	"2"	1
"calonectria_pseudonaviculata"	8.21	53.25	"1"	1
"calonectria_pseudonaviculata"	7.67	47.56	"1"	1
"calonectria_pseudonaviculata"	15.85	57.31	"1"	1
"calonectria_pseudonaviculata"	10.06	52.57	"1"	1
"calonectria_pseudonaviculata"	12.69	56.05	"1"	1
"calonectria_pseudonaviculata"	12.99	55.6	"1"	1
"calonectria_pseudonaviculata"	-4.05	54.84	"2"	1
"calonectria_pseudonaviculata"	5.04	47.32	"1"	1
"calonectria_pseudonaviculata"	12.85	55.41	"1"	1
"calonectria_pseudonaviculata"	-2.7	51.96	"2"	1
"calonectria_pseudonaviculata"	6.02	47.24	"1"	1
"calonectria_pseudonaviculata"	9.46	51.31	"1"	1
"calonectria_pseudonaviculata"	11.98	54.08	"1"	1
"calonectria_pseudonaviculata"	2.38	48.84	"2"	1
"calonectria_pseudonaviculata"	0.51	47.34	"2"	1
"calonectria_pseudonaviculata"	16.21	59.76	"2"	1
"calonectria_pseudonaviculata"	10.85	59.93	"2"	1
"calonectria_pseudonaviculata"	12.02	54.04	"1"	1
"calonectria_pseudonaviculata"	5.95	52.24	"1"	1
