Sp	Algorithm	Variables	Importance
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
1	calonectria_pseudonaviculata	BRT	PC1	0.19662931660283
2	calonectria_pseudonaviculata	BRT	PC2	0.30800753619204
3	calonectria_pseudonaviculata	BRT	PC3	0.115520633085255
4	calonectria_pseudonaviculata	BRT	PC4	0.146470188059464
5	calonectria_pseudonaviculata	BRT	PC5	0.14980872129579
6	calonectria_pseudonaviculata	BRT	PC6	0.0835636047646224
