Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
1	calonectria_pseudonaviculata	GAU	PC1	0.229
2	calonectria_pseudonaviculata	GAU	PC2	0.403
3	calonectria_pseudonaviculata	GAU	PC3	0.042
4	calonectria_pseudonaviculata	GAU	PC4	0.075
5	calonectria_pseudonaviculata	GAU	PC5	0.172
6	calonectria_pseudonaviculata	GAU	PC6	0.079
