Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	MXS	PC1	0.086918626251057
2	calonectria_pseudonaviculata	MXS	PC2	0.394151941969314
3	calonectria_pseudonaviculata	MXS	PC3	0.164587259709903
4	calonectria_pseudonaviculata	MXS	PC4	0.110508310315068
5	calonectria_pseudonaviculata	MXS	PC5	0.0125893411938563
6	calonectria_pseudonaviculata	MXS	PC6	0.231244520560802
1	calonectria_pseudonaviculata	MXS	PC1	0.0856272811989845
2	calonectria_pseudonaviculata	MXS	PC2	0.394334918041477
3	calonectria_pseudonaviculata	MXS	PC3	0.165283476448323
4	calonectria_pseudonaviculata	MXS	PC4	0.11102052351448
5	calonectria_pseudonaviculata	MXS	PC5	0.0115299925767165
6	calonectria_pseudonaviculata	MXS	PC6	0.232203808220018
1	calonectria_pseudonaviculata	MXS	PC1	0.084994285473621
2	calonectria_pseudonaviculata	MXS	PC2	0.393187313581976
3	calonectria_pseudonaviculata	MXS	PC3	0.16614037513599
4	calonectria_pseudonaviculata	MXS	PC4	0.111514561362303
5	calonectria_pseudonaviculata	MXS	PC5	0.0120757363736459
6	calonectria_pseudonaviculata	MXS	PC6	0.232087728072464
1	calonectria_pseudonaviculata	MXS	PC1	0.0864863062908867
2	calonectria_pseudonaviculata	MXS	PC2	0.394014348674523
3	calonectria_pseudonaviculata	MXS	PC3	0.164981884553352
4	calonectria_pseudonaviculata	MXS	PC4	0.111417886594416
5	calonectria_pseudonaviculata	MXS	PC5	0.0115104182601902
6	calonectria_pseudonaviculata	MXS	PC6	0.231589155626633
1	calonectria_pseudonaviculata	MXS	PC1	0.0854340993225728
2	calonectria_pseudonaviculata	MXS	PC2	0.394234522096277
3	calonectria_pseudonaviculata	MXS	PC3	0.165641284618147
4	calonectria_pseudonaviculata	MXS	PC4	0.110674374654107
5	calonectria_pseudonaviculata	MXS	PC5	0.0110140698933255
6	calonectria_pseudonaviculata	MXS	PC6	0.233001649415571
1	calonectria_pseudonaviculata	MXS	PC1	0.0856529750092379
2	calonectria_pseudonaviculata	MXS	PC2	0.394268378371622
3	calonectria_pseudonaviculata	MXS	PC3	0.165425827292667
4	calonectria_pseudonaviculata	MXS	PC4	0.110925547839926
5	calonectria_pseudonaviculata	MXS	PC5	0.011411278650842
6	calonectria_pseudonaviculata	MXS	PC6	0.232315992835705
1	calonectria_pseudonaviculata	MXS	PC1	0.0868060993269766
2	calonectria_pseudonaviculata	MXS	PC2	0.394900968127013
3	calonectria_pseudonaviculata	MXS	PC3	0.163970393240604
4	calonectria_pseudonaviculata	MXS	PC4	0.110948184137535
5	calonectria_pseudonaviculata	MXS	PC5	0.0119880973807037
6	calonectria_pseudonaviculata	MXS	PC6	0.231386257787168
1	calonectria_pseudonaviculata	MXS	PC1	0.0861515127901909
2	calonectria_pseudonaviculata	MXS	PC2	0.394017959618867
3	calonectria_pseudonaviculata	MXS	PC3	0.16531897587279
4	calonectria_pseudonaviculata	MXS	PC4	0.111112332810831
5	calonectria_pseudonaviculata	MXS	PC5	0.0119121255033902
6	calonectria_pseudonaviculata	MXS	PC6	0.231487093403931
1	calonectria_pseudonaviculata	MXS	PC1	0.0856362923441284
2	calonectria_pseudonaviculata	MXS	PC2	0.394261143325839
3	calonectria_pseudonaviculata	MXS	PC3	0.16448814383123
4	calonectria_pseudonaviculata	MXS	PC4	0.110753295688303
5	calonectria_pseudonaviculata	MXS	PC5	0.0123731282390155
6	calonectria_pseudonaviculata	MXS	PC6	0.232487996571484
