Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.176
2	calonectria_pseudonaviculata	RDF	PC2	0.194
3	calonectria_pseudonaviculata	RDF	PC3	0.154
4	calonectria_pseudonaviculata	RDF	PC4	0.165
5	calonectria_pseudonaviculata	RDF	PC5	0.16
6	calonectria_pseudonaviculata	RDF	PC6	0.151
