Sp	Algorithm	Variables	Importance
1	calonectria_pseudonaviculata	BRT	PC1	0.333330957744902
2	calonectria_pseudonaviculata	BRT	PC2	0.183335034581197
3	calonectria_pseudonaviculata	BRT	PC3	0.154344896191715
4	calonectria_pseudonaviculata	BRT	PC4	0.122324595499678
5	calonectria_pseudonaviculata	BRT	PC5	0.124215526736998
6	calonectria_pseudonaviculata	BRT	PC6	0.0824489892455106
1	calonectria_pseudonaviculata	BRT	PC1	0.294726948024811
2	calonectria_pseudonaviculata	BRT	PC2	0.170817022752913
3	calonectria_pseudonaviculata	BRT	PC3	0.200730719597158
4	calonectria_pseudonaviculata	BRT	PC4	0.161617716977971
5	calonectria_pseudonaviculata	BRT	PC5	0.120064917487191
6	calonectria_pseudonaviculata	BRT	PC6	0.0520426751599556
1	calonectria_pseudonaviculata	BRT	PC1	0.262686465914888
2	calonectria_pseudonaviculata	BRT	PC2	0.178523284660104
3	calonectria_pseudonaviculata	BRT	PC3	0.215831010509187
4	calonectria_pseudonaviculata	BRT	PC4	0.145514532572897
5	calonectria_pseudonaviculata	BRT	PC5	0.1193535502043
6	calonectria_pseudonaviculata	BRT	PC6	0.0780911561386245
1	calonectria_pseudonaviculata	BRT	PC1	0.267293687174555
2	calonectria_pseudonaviculata	BRT	PC2	0.185125050625503
3	calonectria_pseudonaviculata	BRT	PC3	0.220495223542685
4	calonectria_pseudonaviculata	BRT	PC4	0.129467798623559
5	calonectria_pseudonaviculata	BRT	PC5	0.122731571233453
6	calonectria_pseudonaviculata	BRT	PC6	0.0748866688002447
