Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	PC1	0.329
2	calonectria_pseudonaviculata	GAU	PC2	0.156
3	calonectria_pseudonaviculata	GAU	PC3	0.203
4	calonectria_pseudonaviculata	GAU	PC4	0.106
5	calonectria_pseudonaviculata	GAU	PC5	0.067
6	calonectria_pseudonaviculata	GAU	PC6	0.139
1	calonectria_pseudonaviculata	GAU	PC1	0.286
2	calonectria_pseudonaviculata	GAU	PC2	0.161
3	calonectria_pseudonaviculata	GAU	PC3	0.241
4	calonectria_pseudonaviculata	GAU	PC4	0.135
5	calonectria_pseudonaviculata	GAU	PC5	0.047
6	calonectria_pseudonaviculata	GAU	PC6	0.13
1	calonectria_pseudonaviculata	GAU	PC1	0.384
2	calonectria_pseudonaviculata	GAU	PC2	0.117
3	calonectria_pseudonaviculata	GAU	PC3	0.246
4	calonectria_pseudonaviculata	GAU	PC4	0.116
5	calonectria_pseudonaviculata	GAU	PC5	0.037
6	calonectria_pseudonaviculata	GAU	PC6	0.1
1	calonectria_pseudonaviculata	GAU	PC1	0.384
2	calonectria_pseudonaviculata	GAU	PC2	0.117
3	calonectria_pseudonaviculata	GAU	PC3	0.246
4	calonectria_pseudonaviculata	GAU	PC4	0.116
5	calonectria_pseudonaviculata	GAU	PC5	0.037
6	calonectria_pseudonaviculata	GAU	PC6	0.1
