Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.209
2	calonectria_pseudonaviculata	RDF	PC2	0.164
3	calonectria_pseudonaviculata	RDF	PC3	0.167
4	calonectria_pseudonaviculata	RDF	PC4	0.156
5	calonectria_pseudonaviculata	RDF	PC5	0.155
6	calonectria_pseudonaviculata	RDF	PC6	0.149
1	calonectria_pseudonaviculata	RDF	PC1	0.187
2	calonectria_pseudonaviculata	RDF	PC2	0.156
3	calonectria_pseudonaviculata	RDF	PC3	0.178
4	calonectria_pseudonaviculata	RDF	PC4	0.163
5	calonectria_pseudonaviculata	RDF	PC5	0.172
6	calonectria_pseudonaviculata	RDF	PC6	0.145
1	calonectria_pseudonaviculata	RDF	PC1	0.193
2	calonectria_pseudonaviculata	RDF	PC2	0.172
3	calonectria_pseudonaviculata	RDF	PC3	0.179
4	calonectria_pseudonaviculata	RDF	PC4	0.156
5	calonectria_pseudonaviculata	RDF	PC5	0.158
6	calonectria_pseudonaviculata	RDF	PC6	0.142
1	calonectria_pseudonaviculata	RDF	PC1	0.201
2	calonectria_pseudonaviculata	RDF	PC2	0.168
3	calonectria_pseudonaviculata	RDF	PC3	0.174
4	calonectria_pseudonaviculata	RDF	PC4	0.159
5	calonectria_pseudonaviculata	RDF	PC5	0.157
6	calonectria_pseudonaviculata	RDF	PC6	0.141
