Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	PC1	0.286
2	calonectria_pseudonaviculata	GAU	PC2	0.161
3	calonectria_pseudonaviculata	GAU	PC3	0.241
4	calonectria_pseudonaviculata	GAU	PC4	0.135
5	calonectria_pseudonaviculata	GAU	PC5	0.047
6	calonectria_pseudonaviculata	GAU	PC6	0.13
1	calonectria_pseudonaviculata	GAU	PC1	0.286
2	calonectria_pseudonaviculata	GAU	PC2	0.161
3	calonectria_pseudonaviculata	GAU	PC3	0.241
4	calonectria_pseudonaviculata	GAU	PC4	0.135
5	calonectria_pseudonaviculata	GAU	PC5	0.047
6	calonectria_pseudonaviculata	GAU	PC6	0.13
1	calonectria_pseudonaviculata	GAU	PC1	0.286
2	calonectria_pseudonaviculata	GAU	PC2	0.161
3	calonectria_pseudonaviculata	GAU	PC3	0.241
4	calonectria_pseudonaviculata	GAU	PC4	0.135
5	calonectria_pseudonaviculata	GAU	PC5	0.047
6	calonectria_pseudonaviculata	GAU	PC6	0.13
