Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.184
2	calonectria_pseudonaviculata	RDF	PC2	0.16
3	calonectria_pseudonaviculata	RDF	PC3	0.18
4	calonectria_pseudonaviculata	RDF	PC4	0.164
5	calonectria_pseudonaviculata	RDF	PC5	0.17
6	calonectria_pseudonaviculata	RDF	PC6	0.142
1	calonectria_pseudonaviculata	RDF	PC1	0.188
2	calonectria_pseudonaviculata	RDF	PC2	0.159
3	calonectria_pseudonaviculata	RDF	PC3	0.185
4	calonectria_pseudonaviculata	RDF	PC4	0.162
5	calonectria_pseudonaviculata	RDF	PC5	0.165
6	calonectria_pseudonaviculata	RDF	PC6	0.142
1	calonectria_pseudonaviculata	RDF	PC1	0.188
2	calonectria_pseudonaviculata	RDF	PC2	0.159
3	calonectria_pseudonaviculata	RDF	PC3	0.185
4	calonectria_pseudonaviculata	RDF	PC4	0.162
5	calonectria_pseudonaviculata	RDF	PC5	0.165
6	calonectria_pseudonaviculata	RDF	PC6	0.142
