Sp	Algorithm	Variables	Importance
1	calonectria_pseudonaviculata	BRT	PC1	0.265674318479728
2	calonectria_pseudonaviculata	BRT	PC2	0.182128525321329
3	calonectria_pseudonaviculata	BRT	PC3	0.23159047058571
4	calonectria_pseudonaviculata	BRT	PC4	0.111986763437798
5	calonectria_pseudonaviculata	BRT	PC5	0.117906434461252
6	calonectria_pseudonaviculata	BRT	PC6	0.090713487714183
1	calonectria_pseudonaviculata	BRT	PC1	0.26472111053142
2	calonectria_pseudonaviculata	BRT	PC2	0.184539565684612
3	calonectria_pseudonaviculata	BRT	PC3	0.235622083069545
4	calonectria_pseudonaviculata	BRT	PC4	0.124311739854591
5	calonectria_pseudonaviculata	BRT	PC5	0.117463685243926
6	calonectria_pseudonaviculata	BRT	PC6	0.0733418156159063
1	calonectria_pseudonaviculata	BRT	PC1	0.265674318479728
2	calonectria_pseudonaviculata	BRT	PC2	0.182128525321329
3	calonectria_pseudonaviculata	BRT	PC3	0.23159047058571
4	calonectria_pseudonaviculata	BRT	PC4	0.111986763437798
5	calonectria_pseudonaviculata	BRT	PC5	0.117906434461252
6	calonectria_pseudonaviculata	BRT	PC6	0.090713487714183
1	calonectria_pseudonaviculata	BRT	PC1	0.265674318479728
2	calonectria_pseudonaviculata	BRT	PC2	0.182128525321329
3	calonectria_pseudonaviculata	BRT	PC3	0.23159047058571
4	calonectria_pseudonaviculata	BRT	PC4	0.111986763437798
5	calonectria_pseudonaviculata	BRT	PC5	0.117906434461252
6	calonectria_pseudonaviculata	BRT	PC6	0.090713487714183
1	calonectria_pseudonaviculata	BRT	PC1	0.266828658993101
2	calonectria_pseudonaviculata	BRT	PC2	0.183248818602475
3	calonectria_pseudonaviculata	BRT	PC3	0.233056928545213
4	calonectria_pseudonaviculata	BRT	PC4	0.118635065096515
5	calonectria_pseudonaviculata	BRT	PC5	0.115770650626356
6	calonectria_pseudonaviculata	BRT	PC6	0.0824598781363392
