Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	MXS	PC1	0.239378032930307
2	calonectria_pseudonaviculata	MXS	PC2	0.0859203375666368
3	calonectria_pseudonaviculata	MXS	PC3	0.285202348215517
4	calonectria_pseudonaviculata	MXS	PC4	0.176457984585805
5	calonectria_pseudonaviculata	MXS	PC5	0.0377506612214691
6	calonectria_pseudonaviculata	MXS	PC6	0.175290635480265
1	calonectria_pseudonaviculata	MXS	PC1	0.239991878377984
2	calonectria_pseudonaviculata	MXS	PC2	0.0882356980643671
3	calonectria_pseudonaviculata	MXS	PC3	0.278885930743429
4	calonectria_pseudonaviculata	MXS	PC4	0.181594906033034
5	calonectria_pseudonaviculata	MXS	PC5	0.0379154327012604
6	calonectria_pseudonaviculata	MXS	PC6	0.173376154079925
1	calonectria_pseudonaviculata	MXS	PC1	0.227298409382781
2	calonectria_pseudonaviculata	MXS	PC2	0.0855039283657565
3	calonectria_pseudonaviculata	MXS	PC3	0.282882899678581
4	calonectria_pseudonaviculata	MXS	PC4	0.188128827611387
5	calonectria_pseudonaviculata	MXS	PC5	0.0417664737428241
6	calonectria_pseudonaviculata	MXS	PC6	0.174419461218671
1	calonectria_pseudonaviculata	MXS	PC1	0.246720991902489
2	calonectria_pseudonaviculata	MXS	PC2	0.0926794508175329
3	calonectria_pseudonaviculata	MXS	PC3	0.270947322514135
4	calonectria_pseudonaviculata	MXS	PC4	0.1852031298739
5	calonectria_pseudonaviculata	MXS	PC5	0.0354196431427865
6	calonectria_pseudonaviculata	MXS	PC6	0.169029461749157
1	calonectria_pseudonaviculata	MXS	PC1	0.252019392188937
2	calonectria_pseudonaviculata	MXS	PC2	0.0832079272172001
3	calonectria_pseudonaviculata	MXS	PC3	0.276113335339322
4	calonectria_pseudonaviculata	MXS	PC4	0.183628331365673
5	calonectria_pseudonaviculata	MXS	PC5	0.0361957992909944
6	calonectria_pseudonaviculata	MXS	PC6	0.168835214597874
