Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.195
2	calonectria_pseudonaviculata	RDF	PC2	0.168
3	calonectria_pseudonaviculata	RDF	PC3	0.184
4	calonectria_pseudonaviculata	RDF	PC4	0.156
5	calonectria_pseudonaviculata	RDF	PC5	0.154
6	calonectria_pseudonaviculata	RDF	PC6	0.143
1	calonectria_pseudonaviculata	RDF	PC1	0.194
2	calonectria_pseudonaviculata	RDF	PC2	0.162
3	calonectria_pseudonaviculata	RDF	PC3	0.182
4	calonectria_pseudonaviculata	RDF	PC4	0.161
5	calonectria_pseudonaviculata	RDF	PC5	0.156
6	calonectria_pseudonaviculata	RDF	PC6	0.145
1	calonectria_pseudonaviculata	RDF	PC1	0.195
2	calonectria_pseudonaviculata	RDF	PC2	0.168
3	calonectria_pseudonaviculata	RDF	PC3	0.184
4	calonectria_pseudonaviculata	RDF	PC4	0.156
5	calonectria_pseudonaviculata	RDF	PC5	0.154
6	calonectria_pseudonaviculata	RDF	PC6	0.143
1	calonectria_pseudonaviculata	RDF	PC1	0.195
2	calonectria_pseudonaviculata	RDF	PC2	0.168
3	calonectria_pseudonaviculata	RDF	PC3	0.184
4	calonectria_pseudonaviculata	RDF	PC4	0.156
5	calonectria_pseudonaviculata	RDF	PC5	0.154
6	calonectria_pseudonaviculata	RDF	PC6	0.143
1	calonectria_pseudonaviculata	RDF	PC1	0.2
2	calonectria_pseudonaviculata	RDF	PC2	0.164
3	calonectria_pseudonaviculata	RDF	PC3	0.185
4	calonectria_pseudonaviculata	RDF	PC4	0.154
5	calonectria_pseudonaviculata	RDF	PC5	0.152
6	calonectria_pseudonaviculata	RDF	PC6	0.145
