Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	PC1	0.238
2	calonectria_pseudonaviculata	GAU	PC2	0.387
3	calonectria_pseudonaviculata	GAU	PC3	0.048
4	calonectria_pseudonaviculata	GAU	PC4	0.098
5	calonectria_pseudonaviculata	GAU	PC5	0.175
6	calonectria_pseudonaviculata	GAU	PC6	0.055
1	calonectria_pseudonaviculata	GAU	PC1	0.238
2	calonectria_pseudonaviculata	GAU	PC2	0.387
3	calonectria_pseudonaviculata	GAU	PC3	0.048
4	calonectria_pseudonaviculata	GAU	PC4	0.098
5	calonectria_pseudonaviculata	GAU	PC5	0.175
6	calonectria_pseudonaviculata	GAU	PC6	0.055
