Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.172
2	calonectria_pseudonaviculata	RDF	PC2	0.19
3	calonectria_pseudonaviculata	RDF	PC3	0.163
4	calonectria_pseudonaviculata	RDF	PC4	0.167
5	calonectria_pseudonaviculata	RDF	PC5	0.158
6	calonectria_pseudonaviculata	RDF	PC6	0.151
1	calonectria_pseudonaviculata	RDF	PC1	0.182
2	calonectria_pseudonaviculata	RDF	PC2	0.195
3	calonectria_pseudonaviculata	RDF	PC3	0.149
4	calonectria_pseudonaviculata	RDF	PC4	0.166
5	calonectria_pseudonaviculata	RDF	PC5	0.157
6	calonectria_pseudonaviculata	RDF	PC6	0.151
