Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	MXD	bio1	0.0425306807184498
2	calonectria_pseudonaviculata	MXD	bio10	0.0112378764124259
3	calonectria_pseudonaviculata	MXD	bio11	0.0785061408023858
4	calonectria_pseudonaviculata	MXD	bio12	0.0391927761951472
5	calonectria_pseudonaviculata	MXD	bio13	0.026338725043253
6	calonectria_pseudonaviculata	MXD	bio14	0.0505446217456138
7	calonectria_pseudonaviculata	MXD	bio15	0.0437204677288226
8	calonectria_pseudonaviculata	MXD	bio16	0.0271109889909168
9	calonectria_pseudonaviculata	MXD	bio17	0.0526562060330656
10	calonectria_pseudonaviculata	MXD	bio18	0.0213585714076874
11	calonectria_pseudonaviculata	MXD	bio19	0.0397957899628103
12	calonectria_pseudonaviculata	MXD	bio2	0.028308278040717
13	calonectria_pseudonaviculata	MXD	bio28	0.0375904673663146
14	calonectria_pseudonaviculata	MXD	bio29	0.0369506771480255
15	calonectria_pseudonaviculata	MXD	bio3	0.034215692337218
16	calonectria_pseudonaviculata	MXD	bio30	0.0230516731660182
17	calonectria_pseudonaviculata	MXD	bio31	0.019551387161219
18	calonectria_pseudonaviculata	MXD	bio32	0.0375820716337592
19	calonectria_pseudonaviculata	MXD	bio33	0.0264367827266803
20	calonectria_pseudonaviculata	MXD	bio34	0.0225266910016233
21	calonectria_pseudonaviculata	MXD	bio35	0.0438783585875565
22	calonectria_pseudonaviculata	MXD	bio4	0.0728694073232164
23	calonectria_pseudonaviculata	MXD	bio5	0.00142184464804924
24	calonectria_pseudonaviculata	MXD	bio6	0.0923125792209814
25	calonectria_pseudonaviculata	MXD	bio7	0.069452388834261
26	calonectria_pseudonaviculata	MXD	bio8	0.000718904488975633
27	calonectria_pseudonaviculata	MXD	bio9	0.0201399512748065
1	calonectria_pseudonaviculata	MXD	bio1	0.0423514292746241
2	calonectria_pseudonaviculata	MXD	bio10	0.0112527357228285
3	calonectria_pseudonaviculata	MXD	bio11	0.0779649046726644
4	calonectria_pseudonaviculata	MXD	bio12	0.0398211435939874
5	calonectria_pseudonaviculata	MXD	bio13	0.0268024654910003
6	calonectria_pseudonaviculata	MXD	bio14	0.0508351224650997
7	calonectria_pseudonaviculata	MXD	bio15	0.0434355108008584
8	calonectria_pseudonaviculata	MXD	bio16	0.0275755328941971
9	calonectria_pseudonaviculata	MXD	bio17	0.0530899525596542
10	calonectria_pseudonaviculata	MXD	bio18	0.0214193191334107
11	calonectria_pseudonaviculata	MXD	bio19	0.0403733126540091
12	calonectria_pseudonaviculata	MXD	bio2	0.0282440625876773
13	calonectria_pseudonaviculata	MXD	bio28	0.0375760473109981
14	calonectria_pseudonaviculata	MXD	bio29	0.0369216600671416
15	calonectria_pseudonaviculata	MXD	bio3	0.0338869563088042
16	calonectria_pseudonaviculata	MXD	bio30	0.0230376876411168
17	calonectria_pseudonaviculata	MXD	bio31	0.0195527740681128
18	calonectria_pseudonaviculata	MXD	bio32	0.0375396040502299
19	calonectria_pseudonaviculata	MXD	bio33	0.0264135118327077
20	calonectria_pseudonaviculata	MXD	bio34	0.0225071134397754
21	calonectria_pseudonaviculata	MXD	bio35	0.043777382624445
22	calonectria_pseudonaviculata	MXD	bio4	0.0724598302957797
23	calonectria_pseudonaviculata	MXD	bio5	0.00138125221039627
24	calonectria_pseudonaviculata	MXD	bio6	0.0916491550863629
25	calonectria_pseudonaviculata	MXD	bio7	0.0692311410259114
26	calonectria_pseudonaviculata	MXD	bio8	0.000812235232538379
27	calonectria_pseudonaviculata	MXD	bio9	0.0200881569556687
