Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	MXS	bio1	0.043446338124855
2	calonectria_pseudonaviculata	MXS	bio10	0.0120009796594214
3	calonectria_pseudonaviculata	MXS	bio11	0.0792415580943236
4	calonectria_pseudonaviculata	MXS	bio12	0.039286338416623
5	calonectria_pseudonaviculata	MXS	bio13	0.0264273254319579
6	calonectria_pseudonaviculata	MXS	bio14	0.0507405442690541
7	calonectria_pseudonaviculata	MXS	bio15	0.0436220144230693
8	calonectria_pseudonaviculata	MXS	bio16	0.0271901797627418
9	calonectria_pseudonaviculata	MXS	bio17	0.0527302069656993
10	calonectria_pseudonaviculata	MXS	bio18	0.0213181812819152
11	calonectria_pseudonaviculata	MXS	bio19	0.0398725586975701
12	calonectria_pseudonaviculata	MXS	bio2	0.0292536485756067
13	calonectria_pseudonaviculata	MXS	bio28	0.0372692933073423
14	calonectria_pseudonaviculata	MXS	bio29	0.0365239744488718
15	calonectria_pseudonaviculata	MXS	bio3	0.0332704168686146
16	calonectria_pseudonaviculata	MXS	bio30	0.0232286553365788
17	calonectria_pseudonaviculata	MXS	bio31	0.0194959271416684
18	calonectria_pseudonaviculata	MXS	bio32	0.0371112670654539
19	calonectria_pseudonaviculata	MXS	bio33	0.0265358881894159
20	calonectria_pseudonaviculata	MXS	bio34	0.0226800001557606
21	calonectria_pseudonaviculata	MXS	bio35	0.0432645649500549
22	calonectria_pseudonaviculata	MXS	bio4	0.0716014044666565
23	calonectria_pseudonaviculata	MXS	bio5	0.00100815970581206
24	calonectria_pseudonaviculata	MXS	bio6	0.0932182817382386
25	calonectria_pseudonaviculata	MXS	bio7	0.0690433756484419
26	calonectria_pseudonaviculata	MXS	bio8	0.000267060597849311
27	calonectria_pseudonaviculata	MXS	bio9	0.020351856676403
