Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
1	calonectria_pseudonaviculata	BIO	bio15	0.277344723885853
2	calonectria_pseudonaviculata	BIO	bio33	0.162303586773478
3	calonectria_pseudonaviculata	BIO	bio5	0.166183346026457
4	calonectria_pseudonaviculata	BIO	bio6	0.126982050641905
5	calonectria_pseudonaviculata	BIO	bio7	0.267186292672306
