"sp"	"x"	"y"	"Partition"	"PresAbse"
"calonectria_pseudonaviculata"	42.07	42.62	2	1
"calonectria_pseudonaviculata"	42.35	42.6	2	1
"calonectria_pseudonaviculata"	41.82	42.4	2	1
"calonectria_pseudonaviculata"	52.03	36.58	2	1
"calonectria_pseudonaviculata"	2.16	48.66	2	1
"calonectria_pseudonaviculata"	-0.33	51.23	2	1
"calonectria_pseudonaviculata"	13.95	45.62	2	1
"calonectria_pseudonaviculata"	12.57	55.68	2	1
"calonectria_pseudonaviculata"	9.12	45.72	2	1
"calonectria_pseudonaviculata"	0.15	45.75	2	1
"calonectria_pseudonaviculata"	14.32	45.36	2	1
"calonectria_pseudonaviculata"	7.67	47.56	2	1
"calonectria_pseudonaviculata"	10.06	52.57	2	1
"calonectria_pseudonaviculata"	5.04	47.32	2	1
"calonectria_pseudonaviculata"	16.27	47.15	2	1
"calonectria_pseudonaviculata"	-2.1	51.5	2	1
"calonectria_pseudonaviculata"	20.9166666666667	49.7499999994649	2	0
"calonectria_pseudonaviculata"	16.4166666666667	44.0833333327453	2	0
"calonectria_pseudonaviculata"	18.75	50.0833333328014	2	0
"calonectria_pseudonaviculata"	22.4166666666667	52.4166666661565	2	0
"calonectria_pseudonaviculata"	10.75	42.9166666660678	2	0
"calonectria_pseudonaviculata"	14.5833333333333	48.5833333327874	2	0
"calonectria_pseudonaviculata"	11.9166666666667	61.4166666662407	2	0
"calonectria_pseudonaviculata"	11.5833333333333	43.9166666660771	2	0
"calonectria_pseudonaviculata"	16.4166666666667	52.0833333328201	2	0
"calonectria_pseudonaviculata"	0.0833333333333321	49.0833333327921	2	0
"calonectria_pseudonaviculata"	16.5833333333333	46.7499999994369	2	0
"calonectria_pseudonaviculata"	41.4166666666667	41.4166666660537	2	0
"calonectria_pseudonaviculata"	21.5833333333333	61.7499999995771	2	0
"calonectria_pseudonaviculata"	10.0833333333333	44.4166666660818	2	0
"calonectria_pseudonaviculata"	-1.91666666666667	43.083333332736	2	0
"calonectria_pseudonaviculata"	17.4166666666667	52.5833333328248	2	0
"calonectria_pseudonaviculata"	28.98	41.01	2	1
"calonectria_pseudonaviculata"	42.38	42.42	2	1
"calonectria_pseudonaviculata"	42.16	42.69	2	1
"calonectria_pseudonaviculata"	39.71	40.81	2	1
"calonectria_pseudonaviculata"	41.7	41.4	2	1
"calonectria_pseudonaviculata"	42.95	42.38	2	1
"calonectria_pseudonaviculata"	48.87	38.42	2	1
"calonectria_pseudonaviculata"	6.58	46.6	2	1
"calonectria_pseudonaviculata"	13.66	55.85	2	1
"calonectria_pseudonaviculata"	15.55	50.55	2	1
"calonectria_pseudonaviculata"	16.43	49.26	2	1
"calonectria_pseudonaviculata"	-1.31	51.06	2	1
"calonectria_pseudonaviculata"	-1.6	53.12	2	1
"calonectria_pseudonaviculata"	-2.7	51.96	2	1
"calonectria_pseudonaviculata"	10.85	59.93	2	1
"calonectria_pseudonaviculata"	16.4166666666667	44.0833333327453	2	0
"calonectria_pseudonaviculata"	18.75	50.0833333328014	2	0
"calonectria_pseudonaviculata"	22.4166666666667	52.4166666661565	2	0
"calonectria_pseudonaviculata"	10.75	42.9166666660678	2	0
"calonectria_pseudonaviculata"	14.5833333333333	48.5833333327874	2	0
"calonectria_pseudonaviculata"	11.9166666666667	61.4166666662407	2	0
"calonectria_pseudonaviculata"	11.5833333333333	43.9166666660771	2	0
"calonectria_pseudonaviculata"	16.4166666666667	52.0833333328201	2	0
"calonectria_pseudonaviculata"	0.0833333333333321	49.0833333327921	2	0
"calonectria_pseudonaviculata"	16.5833333333333	46.7499999994369	2	0
"calonectria_pseudonaviculata"	41.4166666666667	41.4166666660537	2	0
"calonectria_pseudonaviculata"	21.5833333333333	61.7499999995771	2	0
"calonectria_pseudonaviculata"	10.0833333333333	44.4166666660818	2	0
"calonectria_pseudonaviculata"	-1.91666666666667	43.083333332736	2	0
"calonectria_pseudonaviculata"	17.4166666666667	52.5833333328248	2	0
"calonectria_pseudonaviculata"	45.83	41.95	2	1
"calonectria_pseudonaviculata"	16.14	50.34	2	1
"calonectria_pseudonaviculata"	-7.57	43.05	2	1
"calonectria_pseudonaviculata"	9.39	53.71	2	1
"calonectria_pseudonaviculata"	-2.18	51.62	2	1
"calonectria_pseudonaviculata"	0.04	44.58	2	1
"calonectria_pseudonaviculata"	7.22	53.38	2	1
"calonectria_pseudonaviculata"	8.21	53.25	2	1
"calonectria_pseudonaviculata"	15.85	57.31	2	1
"calonectria_pseudonaviculata"	12.99	55.6	2	1
"calonectria_pseudonaviculata"	9.46	51.31	2	1
"calonectria_pseudonaviculata"	0.51	47.34	2	1
"calonectria_pseudonaviculata"	16.21	59.76	2	1
"calonectria_pseudonaviculata"	5.95	52.24	2	1
"calonectria_pseudonaviculata"	8.23	53.01	2	1
"calonectria_pseudonaviculata"	-1.09	53.54	2	1
"calonectria_pseudonaviculata"	20.9166666666667	49.7499999994649	2	0
"calonectria_pseudonaviculata"	16.4166666666667	44.0833333327453	2	0
"calonectria_pseudonaviculata"	18.75	50.0833333328014	2	0
"calonectria_pseudonaviculata"	22.4166666666667	52.4166666661565	2	0
"calonectria_pseudonaviculata"	10.75	42.9166666660678	2	0
"calonectria_pseudonaviculata"	14.5833333333333	48.5833333327874	2	0
"calonectria_pseudonaviculata"	11.9166666666667	61.4166666662407	2	0
"calonectria_pseudonaviculata"	11.5833333333333	43.9166666660771	2	0
"calonectria_pseudonaviculata"	16.4166666666667	52.0833333328201	2	0
"calonectria_pseudonaviculata"	0.0833333333333321	49.0833333327921	2	0
"calonectria_pseudonaviculata"	16.5833333333333	46.7499999994369	2	0
"calonectria_pseudonaviculata"	41.4166666666667	41.4166666660537	2	0
"calonectria_pseudonaviculata"	21.5833333333333	61.7499999995771	2	0
"calonectria_pseudonaviculata"	10.0833333333333	44.4166666660818	2	0
"calonectria_pseudonaviculata"	-1.91666666666667	43.083333332736	2	0
"calonectria_pseudonaviculata"	17.4166666666667	52.5833333328248	2	0
"calonectria_pseudonaviculata"	37.88	40.99	2	1
"calonectria_pseudonaviculata"	30.62	40.68	2	1
"calonectria_pseudonaviculata"	50.28	37.14	2	1
"calonectria_pseudonaviculata"	21.06	55.91	2	1
"calonectria_pseudonaviculata"	15.02	56.28	2	1
"calonectria_pseudonaviculata"	0.78	51.21	2	1
"calonectria_pseudonaviculata"	7.49	53.24	2	1
"calonectria_pseudonaviculata"	12.69	56.05	2	1
"calonectria_pseudonaviculata"	-4.05	54.84	2	1
"calonectria_pseudonaviculata"	12.85	55.41	2	1
"calonectria_pseudonaviculata"	6.02	47.24	2	1
"calonectria_pseudonaviculata"	12.02	54.04	2	1
"calonectria_pseudonaviculata"	13.37	52.52	2	1
"calonectria_pseudonaviculata"	12.57	56.19	2	1
"calonectria_pseudonaviculata"	12.66	56.08	2	1
"calonectria_pseudonaviculata"	16.4166666666667	44.0833333327453	2	0
"calonectria_pseudonaviculata"	18.75	50.0833333328014	2	0
"calonectria_pseudonaviculata"	22.4166666666667	52.4166666661565	2	0
"calonectria_pseudonaviculata"	10.75	42.9166666660678	2	0
"calonectria_pseudonaviculata"	14.5833333333333	48.5833333327874	2	0
"calonectria_pseudonaviculata"	11.9166666666667	61.4166666662407	2	0
"calonectria_pseudonaviculata"	11.5833333333333	43.9166666660771	2	0
"calonectria_pseudonaviculata"	16.4166666666667	52.0833333328201	2	0
"calonectria_pseudonaviculata"	0.0833333333333321	49.0833333327921	2	0
"calonectria_pseudonaviculata"	16.5833333333333	46.7499999994369	2	0
"calonectria_pseudonaviculata"	41.4166666666667	41.4166666660537	2	0
"calonectria_pseudonaviculata"	21.5833333333333	61.7499999995771	2	0
"calonectria_pseudonaviculata"	10.0833333333333	44.4166666660818	2	0
"calonectria_pseudonaviculata"	-1.91666666666667	43.083333332736	2	0
"calonectria_pseudonaviculata"	17.4166666666667	52.5833333328248	2	0
"calonectria_pseudonaviculata"	40.95	40.91	2	1
"calonectria_pseudonaviculata"	55.2	37.13	2	1
"calonectria_pseudonaviculata"	38.71	40.95	2	1
"calonectria_pseudonaviculata"	43.04	42.34	2	1
"calonectria_pseudonaviculata"	49.55	37.02	2	1
"calonectria_pseudonaviculata"	51.11	36.72	2	1
"calonectria_pseudonaviculata"	41.53	41.39	2	1
"calonectria_pseudonaviculata"	42.04	41.75	2	1
"calonectria_pseudonaviculata"	13.06	47.81	2	1
"calonectria_pseudonaviculata"	-0.64	51.58	2	1
"calonectria_pseudonaviculata"	-2.91	54.63	2	1
"calonectria_pseudonaviculata"	-8.58	51.95	2	1
"calonectria_pseudonaviculata"	14.05	50.41	2	1
"calonectria_pseudonaviculata"	11.98	54.08	2	1
"calonectria_pseudonaviculata"	2.38	48.84	2	1
"calonectria_pseudonaviculata"	10.2	56.16	2	1
"calonectria_pseudonaviculata"	20.9166666666667	49.7499999994649	2	0
"calonectria_pseudonaviculata"	16.4166666666667	44.0833333327453	2	0
"calonectria_pseudonaviculata"	18.75	50.0833333328014	2	0
"calonectria_pseudonaviculata"	22.4166666666667	52.4166666661565	2	0
"calonectria_pseudonaviculata"	10.75	42.9166666660678	2	0
"calonectria_pseudonaviculata"	14.5833333333333	48.5833333327874	2	0
"calonectria_pseudonaviculata"	11.9166666666667	61.4166666662407	2	0
"calonectria_pseudonaviculata"	11.5833333333333	43.9166666660771	2	0
"calonectria_pseudonaviculata"	16.4166666666667	52.0833333328201	2	0
"calonectria_pseudonaviculata"	0.0833333333333321	49.0833333327921	2	0
"calonectria_pseudonaviculata"	16.5833333333333	46.7499999994369	2	0
"calonectria_pseudonaviculata"	41.4166666666667	41.4166666660537	2	0
"calonectria_pseudonaviculata"	21.5833333333333	61.7499999995771	2	0
"calonectria_pseudonaviculata"	10.0833333333333	44.4166666660818	2	0
"calonectria_pseudonaviculata"	-1.91666666666667	43.083333332736	2	0
"calonectria_pseudonaviculata"	17.4166666666667	52.5833333328248	2	0
