Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAM	bio15	0.084
2	calonectria_pseudonaviculata	GAM	bio33	0.254
3	calonectria_pseudonaviculata	GAM	bio5	0.312
4	calonectria_pseudonaviculata	GAM	bio6	0.348
5	calonectria_pseudonaviculata	GAM	bio7	0.002
1	calonectria_pseudonaviculata	GAM	bio15	0.069
2	calonectria_pseudonaviculata	GAM	bio33	0.277
3	calonectria_pseudonaviculata	GAM	bio5	0.297
4	calonectria_pseudonaviculata	GAM	bio6	0.354
5	calonectria_pseudonaviculata	GAM	bio7	0.002
1	calonectria_pseudonaviculata	GAM	bio15	0.069
2	calonectria_pseudonaviculata	GAM	bio33	0.277
3	calonectria_pseudonaviculata	GAM	bio5	0.297
4	calonectria_pseudonaviculata	GAM	bio6	0.354
5	calonectria_pseudonaviculata	GAM	bio7	0.002
