Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	MXS	bio15	0.0820816326405767
2	calonectria_pseudonaviculata	MXS	bio33	0.00826665930559835
3	calonectria_pseudonaviculata	MXS	bio5	0.0978135235707832
4	calonectria_pseudonaviculata	MXS	bio6	0.624667072846989
5	calonectria_pseudonaviculata	MXS	bio7	0.187171111636053
1	calonectria_pseudonaviculata	MXS	bio1	0.075854578691532
2	calonectria_pseudonaviculata	MXS	bio10	0.0324073685496202
3	calonectria_pseudonaviculata	MXS	bio11	0.117201236351079
4	calonectria_pseudonaviculata	MXS	bio12	0.0321662004833915
5	calonectria_pseudonaviculata	MXS	bio13	0.0259187885787891
6	calonectria_pseudonaviculata	MXS	bio14	0.0323225060625842
7	calonectria_pseudonaviculata	MXS	bio15	0.0228355034650427
8	calonectria_pseudonaviculata	MXS	bio16	0.0257227007160105
9	calonectria_pseudonaviculata	MXS	bio17	0.035290803247969
10	calonectria_pseudonaviculata	MXS	bio18	0.00199705656394679
11	calonectria_pseudonaviculata	MXS	bio19	0.0427476953921567
12	calonectria_pseudonaviculata	MXS	bio2	0.0102836711983484
13	calonectria_pseudonaviculata	MXS	bio28	0.0242924053757307
14	calonectria_pseudonaviculata	MXS	bio29	0.0346217926987857
15	calonectria_pseudonaviculata	MXS	bio3	0.0511094514801983
16	calonectria_pseudonaviculata	MXS	bio30	0.00494494787652834
17	calonectria_pseudonaviculata	MXS	bio31	0.00452525026711394
18	calonectria_pseudonaviculata	MXS	bio32	0.0342201623255379
19	calonectria_pseudonaviculata	MXS	bio33	0.00839941812195257
20	calonectria_pseudonaviculata	MXS	bio34	0.00479042079373322
21	calonectria_pseudonaviculata	MXS	bio35	0.0402093918664218
22	calonectria_pseudonaviculata	MXS	bio4	0.0700178960519507
23	calonectria_pseudonaviculata	MXS	bio5	0.019696840918999
24	calonectria_pseudonaviculata	MXS	bio6	0.123019294136685
25	calonectria_pseudonaviculata	MXS	bio7	0.0583885561879553
26	calonectria_pseudonaviculata	MXS	bio8	0.00702812455984162
27	calonectria_pseudonaviculata	MXS	bio9	0.0599879380380957
1	calonectria_pseudonaviculata	MXS	bio1	0.0759979146150795
2	calonectria_pseudonaviculata	MXS	bio10	0.0324959313725684
3	calonectria_pseudonaviculata	MXS	bio11	0.11733719051597
4	calonectria_pseudonaviculata	MXS	bio12	0.0321478794741402
5	calonectria_pseudonaviculata	MXS	bio13	0.02593353566372
6	calonectria_pseudonaviculata	MXS	bio14	0.0322877267382655
7	calonectria_pseudonaviculata	MXS	bio15	0.02279153728311
8	calonectria_pseudonaviculata	MXS	bio16	0.0257232470270229
9	calonectria_pseudonaviculata	MXS	bio17	0.0352685020695032
10	calonectria_pseudonaviculata	MXS	bio18	0.0019969299175621
11	calonectria_pseudonaviculata	MXS	bio19	0.0427134128357304
12	calonectria_pseudonaviculata	MXS	bio2	0.0102643304243006
13	calonectria_pseudonaviculata	MXS	bio28	0.0242581124050836
14	calonectria_pseudonaviculata	MXS	bio29	0.0346052259550629
15	calonectria_pseudonaviculata	MXS	bio3	0.0510922191904862
16	calonectria_pseudonaviculata	MXS	bio30	0.00491037688084533
17	calonectria_pseudonaviculata	MXS	bio31	0.00454355486161842
18	calonectria_pseudonaviculata	MXS	bio32	0.0341961521078269
19	calonectria_pseudonaviculata	MXS	bio33	0.00836609767218425
20	calonectria_pseudonaviculata	MXS	bio34	0.00476383005528167
21	calonectria_pseudonaviculata	MXS	bio35	0.0401733223439023
22	calonectria_pseudonaviculata	MXS	bio4	0.0699080721014867
23	calonectria_pseudonaviculata	MXS	bio5	0.0197732892262769
24	calonectria_pseudonaviculata	MXS	bio6	0.123085532116058
25	calonectria_pseudonaviculata	MXS	bio7	0.0582780217467287
26	calonectria_pseudonaviculata	MXS	bio8	0.00703714375407491
27	calonectria_pseudonaviculata	MXS	bio9	0.060050911646111
