"sp"	"x"	"y"
"calonectria_pseudonaviculata"	41.37	41.27
"calonectria_pseudonaviculata"	39.68	40.88
"calonectria_pseudonaviculata"	30.62	40.68
"calonectria_pseudonaviculata"	42.38	42.42
"calonectria_pseudonaviculata"	51.73	36.57
"calonectria_pseudonaviculata"	28.98	41.01
"calonectria_pseudonaviculata"	49.55	37.02
"calonectria_pseudonaviculata"	48.96	37.72
"calonectria_pseudonaviculata"	32.39	41.75
"calonectria_pseudonaviculata"	39.74	43.57
"calonectria_pseudonaviculata"	51.11	36.72
"calonectria_pseudonaviculata"	40.75	43.11
"calonectria_pseudonaviculata"	52.35	36.47
"calonectria_pseudonaviculata"	42.95	42.38
"calonectria_pseudonaviculata"	42.04	42.09
"calonectria_pseudonaviculata"	42.04	41.75
"calonectria_pseudonaviculata"	50.28	37.14
"calonectria_pseudonaviculata"	41	41.05
"calonectria_pseudonaviculata"	41.82	42.4
"calonectria_pseudonaviculata"	45.83	41.94
"calonectria_pseudonaviculata"	38.71	40.95
"calonectria_pseudonaviculata"	48.87	38.42
"calonectria_pseudonaviculata"	37.88	40.99
"calonectria_pseudonaviculata"	12.57	55.68
"calonectria_pseudonaviculata"	-1.09	53.54
"calonectria_pseudonaviculata"	0.51	47.34
"calonectria_pseudonaviculata"	13.66	55.85
"calonectria_pseudonaviculata"	15.55	50.55
"calonectria_pseudonaviculata"	16.21	59.76
"calonectria_pseudonaviculata"	9.12	45.72
"calonectria_pseudonaviculata"	9.46	51.31
"calonectria_pseudonaviculata"	-2.13	57.15
"calonectria_pseudonaviculata"	6.58	46.6
"calonectria_pseudonaviculata"	14.05	50.41
"calonectria_pseudonaviculata"	-2.1	51.5
"calonectria_pseudonaviculata"	12.66	56.08
"calonectria_pseudonaviculata"	16.43	49.26
"calonectria_pseudonaviculata"	21.06	55.91
"calonectria_pseudonaviculata"	13.06	47.81
"calonectria_pseudonaviculata"	8.23	53.01
"calonectria_pseudonaviculata"	2.38	48.84
"calonectria_pseudonaviculata"	0.04	44.58
"calonectria_pseudonaviculata"	13.95	45.62
"calonectria_pseudonaviculata"	-1.6	53.12
"calonectria_pseudonaviculata"	-7.57	43.05
"calonectria_pseudonaviculata"	10.85	59.93
"calonectria_pseudonaviculata"	11.98	54.08
"calonectria_pseudonaviculata"	0.15	45.75
"calonectria_pseudonaviculata"	-0.33	51.23
"calonectria_pseudonaviculata"	9.39	53.71
"calonectria_pseudonaviculata"	15.02	56.28
"calonectria_pseudonaviculata"	-2.78	54.26
"calonectria_pseudonaviculata"	7.67	47.56
"calonectria_pseudonaviculata"	-2.34	55.78
"calonectria_pseudonaviculata"	-0.25	53.12
"calonectria_pseudonaviculata"	16.27	47.15
"calonectria_pseudonaviculata"	-2.91	54.63
"calonectria_pseudonaviculata"	15.85	57.31
"calonectria_pseudonaviculata"	14.32	45.36
"calonectria_pseudonaviculata"	7.49	53.24
"calonectria_pseudonaviculata"	7.95	52.63
"calonectria_pseudonaviculata"	0.78	51.21
"calonectria_pseudonaviculata"	5.95	52.24
"calonectria_pseudonaviculata"	13.37	52.52
"calonectria_pseudonaviculata"	16.14	50.34
"calonectria_pseudonaviculata"	5.04	47.32
"calonectria_pseudonaviculata"	10.2	56.16
"calonectria_pseudonaviculata"	-1.31	51.06
"calonectria_pseudonaviculata"	10.06	52.57
"calonectria_pseudonaviculata"	6.02	47.24
"calonectria_pseudonaviculata"	-0.64	51.58
"calonectria_pseudonaviculata"	-4.05	54.84
