"data","partition","type","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef"
"PC","cb2","aicc","LQ","1","fc.LQ_rm.1",0.802492666666667,0.944,0.0337677149190737,0.0527754034810962,0.774539676608142,0.0436191261371684,0.71725,0.0908639092269313,0.134017298490983,0.107574403191517,0.0131578947368421,0.0263157894736842,1.92388440901503,0.156616513693187,0,0,1504.70140224817,0,0.79504508218146,12
"PC","cb2","seq","LQ","4","fc.LQ_rm.4",0.794154,0.969,0.0494264546081855,0.0696201312769545,0.741170526516778,0.0578246559925915,0.6955,0.174565174075472,0.124401913875598,0.119967588957521,0.0263157894736842,0.0526315789473684,1.99692209144326,0.00274406577806101,0,0,1520.89905232103,16.1976500728629,0.000241611016409785,9
"PC","cb2","seq","LQH","4","fc.LQH_rm.4",0.794154,0.969,0.0494264546081855,0.0696201312769545,0.741170526516778,0.0578246559925915,0.6955,0.174565174075472,0.124401913875598,0.119967588957521,0.0263157894736842,0.0526315789473684,1.99733234419196,0.00321556428795538,0,0,1520.89905232103,16.1976500728629,0.000241611016409785,9
"PC","block","aicc","LQ","1","fc.LQ_rm.1",0.801042860493951,0.951,0.174779310002639,0.0734467043310194,0.671135923468182,0.110175768299651,0.61075,0.0757468371176865,0.298245614035088,0.288275030265877,0.0526315789473684,0.105263157894737,2.0447570186985,0.216544791654141,0,0,1501.71801831344,0,0.963007374797611,11
"PC","block","seq","LQ","2","fc.LQ_rm.2",0.799974531684595,0.946,0.181940148961948,0.0824884139656691,0.654107803541243,0.110824378826011,0.40775,0.186721494924036,0.269005847953216,0.229042760556329,0.0526315789473684,0.105263157894737,1.98917873790713,0.113825959133331,0,0,1510.16482159827,8.44680328482218,0.0141068349408056,9
"PC","kfold","aicc","LQ","1","fc.LQ_rm.1",0.801042860493951,0.951,0.174779310002639,0.0734467043310194,0.671135923468182,0.110175768299651,0.61075,0.0757468371176865,0.298245614035088,0.288275030265877,0.0526315789473684,0.105263157894737,2.0447570186985,0.216544791654141,0,0,1501.71801831344,0,0.963007374797611,11
"PC","kfold","seq","LQ","2","fc.LQ_rm.2",0.799974531684595,0.946,0.181940148961948,0.0824884139656691,0.654107803541243,0.110824378826011,0.40775,0.186721494924036,0.269005847953216,0.229042760556329,0.0526315789473684,0.105263157894737,1.98917873790713,0.113825959133331,0,0,1510.16482159827,8.44680328482218,0.0141068349408056,9
"subset","cb2","aicc","LQ","1","fc.LQ_rm.1",0.760920945945946,0.816,0.0578379059072265,0.0380536686671816,0.721748313592385,0.0539265815196266,0.5495,0.225888615619882,0.109827326155927,0.0523709259058588,0.0166666666666667,0.0333333333333333,2.00368791314345,0.00310977686221641,0,0,1473.30395458132,0,0.970988593676128,7
"subset","cb2","seq","LQ","1","fc.LQ_rm.1",0.760920945945946,0.816,0.0578379059072265,0.0380536686671816,0.721748313592385,0.0539265815196266,0.5495,0.225888615619882,0.109827326155927,0.0523709259058588,0.0166666666666667,0.0333333333333333,2.00368791314345,0.00310977686221641,0,0,1473.30395458132,0,0.970988593676128,7
"subset","block","aicc","LQ","1","fc.LQ_rm.1",0.760920945945946,0.816,0.232017260932078,0.0894883411613897,0.684563818538755,0.211550551123368,0.5195,0.414889945246528,0.347222222222222,0.431227074896112,0.0833333333333333,0.132248674602645,1.99426157974689,0.0631170533767031,0,0,1473.30395458132,0,0.970988593676128,7
"subset","block","seq","LQ","5","fc.LQ_rm.5",0.723569594594595,0.929,0.228812454356563,0.104500813541765,0.650733099328738,0.21255816998417,0.49675,0.353851546084889,0.291666666666667,0.343592135468138,0.111111111111111,0.157134840263677,1.98347276512816,0.0470328669929266,0,0,1504.8665169996,31.5625624182787,1.35984929903177e-07,5
